"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Robo4",0,1.36726414104949,0.749,0.032,0,"0"
"Calm2",0,1.36343727946154,0.978,0.788,0,"0"
"Adgrl2",0,1.35642008761056,0.758,0.07,0,"0"
"Arhgef15",0,1.35593766069717,0.752,0.029,0,"0"
"Myct1",0,1.3397502685496,0.746,0.032,0,"0"
"Clic4",0,1.3379258243228,0.878,0.298,0,"0"
"Cd59a",0,1.33709637827904,0.772,0.093,0,"0"
"Tcn2",0,1.31597504237347,0.814,0.318,0,"0"
"Slc43a3",0,1.31392556158161,0.85,0.227,0,"0"
"Pcdh17",0,1.31225615021356,0.593,0.023,0,"0"
"Ushbp1",0,1.29051275234264,0.754,0.034,0,"0"
"Chst15",0,1.28277126582704,0.752,0.155,0,"0"
"Plk2",0,1.27882081292367,0.676,0.068,0,"0"
"Tfpi",0,1.27399951905543,0.717,0.087,0,"0"
"Ralgapa2",0,1.27270384195682,0.698,0.082,0,"0"
"Ap1b1",0,1.26128200114974,0.749,0.106,0,"0"
"Rbms1",0,1.26029448662676,0.949,0.549,0,"0"
"S100a16",0,1.25869346256491,0.776,0.111,0,"0"
"Col13a1",0,1.24768965740183,0.649,0.024,0,"0"
"Podxl",0,1.2440435799634,0.682,0.032,0,"0"
"Sash1",0,1.24117888310775,0.778,0.174,0,"0"
"Btnl9",0,1.2391693047737,0.608,0.022,0,"0"
"Arhgef12",0,1.23065939833803,0.869,0.318,0,"0"
"Epb41l2",0,1.22791900305043,0.809,0.202,0,"0"
"Vamp5",0,1.22597649889339,0.765,0.148,0,"0"
"Notch1",0,1.20924394639666,0.757,0.125,0,"0"
"Tcf4",0,1.2074183632481,0.937,0.457,0,"0"
"Zfp503",0,1.19652366719425,0.653,0.053,0,"0"
"Jam2",0,1.1923127787622,0.64,0.032,0,"0"
"Nav1",0,1.19095876046789,0.747,0.121,0,"0"
"Fgd5",0,1.18477254781187,0.712,0.031,0,"0"
"Igfbp7",0,1.18365797778242,0.995,0.548,0,"0"
"Plekhg1",0,1.1697125966133,0.69,0.042,0,"0"
"Cd47",0,1.16877443232666,0.974,0.755,0,"0"
"Lhfpl2",0,1.15783918342091,0.673,0.058,0,"0"
"Cbfa2t3",0,1.1577503593986,0.681,0.081,0,"0"
"Tmem106a",0,1.15270363776243,0.702,0.108,0,"0"
"Tie1",0,1.13811132726109,0.708,0.036,0,"0"
"Crim1",0,1.13514599552419,0.732,0.104,0,"0"
"Arap3",0,1.13099730731015,0.715,0.058,0,"0"
"4931406P16Rik",0,1.12959475616716,0.74,0.089,0,"0"
"Zeb1",0,1.1242848116171,0.731,0.125,0,"0"
"Atp2b4",0,1.12310863865829,0.686,0.066,0,"0"
"Pcdh12",0,1.11717120184204,0.648,0.024,0,"0"
"Sgpp1",0,1.11049385032061,0.692,0.111,0,"0"
"Acer2",0,1.10995431066414,0.628,0.041,0,"0"
"Calcrl",0,1.10073964330691,0.771,0.11,0,"0"
"Stard8",0,1.09596789614549,0.677,0.087,0,"0"
"Hyal2",0,1.04202803983626,0.671,0.065,0,"0"
"Id4",0,0.991427171343681,0.527,0.018,0,"0"
"Icam2",0,0.98525199179563,0.644,0.074,0,"0"
"Hecw2",0,0.983683419405882,0.601,0.027,0,"0"
"Emcn",0,0.96615452814145,0.614,0.029,0,"0"
"Adgrg3",0,0.95780625038374,0.593,0.028,0,"0"
"Lama4",0,0.957066126336449,0.563,0.027,0,"0"
"Tjp1",0,0.948126697858174,0.666,0.078,0,"0"
"Fbxl7",0,0.929695293761142,0.569,0.024,0,"0"
"Exoc3l2",0,0.929549379048613,0.576,0.025,0,"0"
"Plcb4",0,0.928669949555602,0.593,0.04,0,"0"
"Sox18",0,0.927452331035095,0.572,0.021,0,"0"
"Tmem88",0,0.918291616386235,0.572,0.028,0,"0"
"Fam171a1",0,0.907530819848133,0.587,0.025,0,"0"
"She",0,0.886513950591478,0.582,0.039,0,"0"
