,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-VR-AA4D-01A,4.663367965,3.195017176,3.104912245,3.933277446,4.642378439,4.767858627,4.5501552,4.730245031,7.115498105,5.220862498,2.722321529,6.159395272,6.125725278,5.7076381,3.762406904,5.982237948,3.114074309,8.69761453,7.157151904,6.749743976,4.142126976,6.1308119,5.115965795,6.271642445,3.047105294,Tumor
TCGA-L5-A893-01A,3.70291734,3.055305442,3.401807127,4.332149057,5.80010202,5.203222138,4.077701029,4.110547937,4.673440909,4.893678028,4.191936597,5.826741047,6.141314996,5.584684606,0.10141053,4.980617396,0.949106811,7.90263837,6.859884103,6.630229931,4.486254342,5.535441423,5.399989422,6.230048961,3.25509861,Tumor
TCGA-2H-A9GI-01A,3.550236147,2.112546788,3.097927051,3.341140723,4.456158666,5.404957079,4.006427958,4.099518656,6.086308313,4.703375415,2.831748868,6.551642789,5.957984289,5.310299485,0.156594348,3.822846897,0.064904474,7.619461567,6.357078938,6.211121372,4.704828037,5.872556127,4.564962469,5.724397843,3.01203859,Tumor
TCGA-Z6-AAPN-01A,3.648194935,3.118326123,3.773550982,3.58802884,4.997221556,5.913392101,4.566917178,3.870436085,6.066420362,4.74942277,3.116210672,6.176326442,4.956566581,5.001118587,3.763945388,6.590162414,3.778672464,8.611487888,7.269180034,6.201745898,4.408651489,6.103924322,5.018971896,5.822138408,3.029522817,Tumor
TCGA-LN-A8I1-01A,4.265316804,2.676357336,3.66149035,2.9528134,4.646662816,6.431708318,3.614915247,4.226629439,4.819183057,5.137377327,2.686149306,6.422208521,5.744143152,4.270037793,0.286538965,4.093464799,0.376128282,7.442864218,7.532807588,6.682776423,4.184766199,5.864338127,5.731317115,7.423422805,3.805200198,Tumor
TCGA-LN-A49W-01A,4.351108767,3.176451637,3.983799889,4.145327118,5.026587542,5.59765204,5.031664343,4.161327148,5.898227672,4.995046194,3.822623721,6.207086799,5.805831869,7.267830773,3.208396608,6.641741903,4.225387636,8.270005088,7.076124884,6.546496437,4.877222261,6.074456091,5.008680743,5.928632401,3.91536892,Tumor
TCGA-V5-AASW-01A,3.593237162,3.17206392,3.583495849,4.385305816,5.623240247,4.85842435,4.301936956,5.356017338,5.537652504,4.929801005,3.296181103,6.74376953,5.966779001,5.883409871,0.442045054,5.451105697,3.055366951,8.537425683,6.880996088,6.69722434,4.727147342,6.643845483,5.445503413,6.149455883,3.017515381,Tumor
TCGA-IG-A8O2-01A,4.454750189,2.852385339,4.061208643,3.469893895,6.435447276,4.672325206,4.402813378,4.03004564,5.477492025,5.416726835,2.928867233,6.464214623,6.540653521,5.447717881,0.095824074,4.081353812,0.594465174,8.360148007,7.366728533,7.21287746,5.153352555,6.597142443,5.524567877,6.828280038,4.408842179,Tumor
TCGA-V5-A7RC-01B,4.151778653,3.9900435,4.291508307,4.706434404,5.938241523,4.779064898,4.773579586,5.093905218,5.927771148,5.610234079,3.701127241,6.885427381,6.531443903,5.741292358,0.420886468,7.988610296,3.492963838,8.117364177,7.260026685,6.824198232,4.457423782,6.936025907,5.832277844,7.271847129,4.411429708,Tumor
TCGA-VR-A8Q7-01A,3.466506873,2.858055239,4.379254136,4.112025669,5.385541158,5.478758281,5.162629808,4.593533736,5.456051289,4.692468098,3.068121519,6.212135707,5.360220118,6.08426581,4.651573848,6.93942926,4.822990084,8.612354836,7.069374081,6.556043759,4.37245312,6.94242411,4.910617201,6.468305472,3.775345082,Tumor
