"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Selp",1.0019235637464e-83,2.05910170506444,0.898,0.015,1.60758635803111e-79,"8"
"Jam2",2.48691274211568e-61,2.13279172584325,0.949,0.207,3.99025149472461e-57,"8"
"Vwf",1.83918318101466e-60,2.42904789550571,0.78,0.022,2.95096941393803e-56,"8"
"Bmp4",4.61993086563161e-50,2.0674872744851,0.61,0.03,7.41267907390591e-46,"8"
"Wnt2",7.33542700183405e-50,2.0094881635784,0.932,0.164,1.17696926244427e-45,"8"
"Edn1",3.59587921872805e-48,2.4131418729705,0.644,0.018,5.76958820644916e-44,"8"
"Thbd",2.16453303102213e-44,1.94755377517019,0.763,0.141,3.47299324827501e-40,"8"
"Clu",6.25629513023336e-168,5.33982247327597,1,0.349,1.00382255364594e-163,"9"
"Tm4sf4",3.31602123268078e-88,3.25084461774036,0.967,0.088,5.32055606783632e-84,"9"
"Anxa5",3.60879193047011e-77,2.71330965396541,0.967,0.695,5.79030665243929e-73,"9"
"Spp1",2.34369785520479e-69,6.21836062967953,0.967,0.024,3.76046320867609e-65,"9"
"Epcam",7.07456627113841e-61,2.82320846041907,0.833,0.009,1.13511415820416e-56,"9"
"Krt18",1.67587108619264e-58,2.9056675386422,0.933,0.185,2.6889351577961e-54,"9"
"Tstd1",3.61469543484077e-52,2.73803380172223,0.767,0.054,5.79977882520202e-48,"9"
"Krt8",3.81062674383379e-52,2.60184922347687,0.833,0.169,6.11415061048132e-48,"9"
"Cp",1.36440737196765e-43,2.90663209112736,0.8,0.311,2.18919162832209e-39,"9"
"Sorbs2",4.77884323428968e-42,2.60711966440369,0.733,0.055,7.66765396941779e-38,"9"
"S100a11",1.39734424557661e-84,3.46623822692245,1,0.369,2.24203884202767e-80,"10"
"Csf3r",8.76014887363773e-77,3.25185194113211,0.923,0.027,1.40556588677517e-72,"10"
"S100a9",3.58559141304618e-65,8.35791087930589,0.923,0.008,5.75308142223259e-61,"10"
"S100a8",4.9921162580442e-61,8.19754933784569,0.923,0.006,8.00985053603192e-57,"10"
"Il1b",2.28270849110294e-52,4.6446898130653,0.962,0.054,3.66260577397467e-48,"10"
"Retnlg",5.0080087186603e-44,5.18920560270812,0.731,0.001,8.03534998909045e-40,"10"
"S100a6",2.96338327953644e-42,4.55529058688923,0.962,0.156,4.75474847201621e-38,"10"
"Slpi",1.89043277038267e-37,3.21996987996354,0.923,0.022,3.03319938007899e-33,"10"
"Cxcl2",2.46228643016248e-21,4.03032597903099,0.615,0.027,3.9507385771957e-17,"10"
"Ifitm1",1.10160039587431e-20,3.30110768211819,0.846,0.111,1.76751783518032e-16,"10"
