"gene_short_name","p_value","morans_test_statistic","morans_I","status","q_value"
"Sox17",9.24512092515193e-120,23.2387397573489,0.331445138175864,"OK",3.53631554208268e-118
"Mrpl15",5.72536938276894e-06,4.38779165169342,0.0665134837060946,"OK",1.54556182678944e-05
"Atp6v1h",1.18678026976777e-06,4.71870042015819,0.0716160552124494,"OK",3.39691032170337e-06
"Rb1cc1",2.7398639002052e-16,8.10035891765807,0.12473975964382,"OK",1.39712417944299e-15
"Pcmtd1",5.88745538154979e-23,9.79546949497184,0.151289856382352,"OK",3.82537167696023e-22
"Sntg1",5.05252889204205e-18,8.57274101824038,0.131873597979449,"OK",2.75027167102485e-17
"Rrs1",1.36492207582936e-60,16.3783646763296,0.254353990595084,"OK",2.21344863296995e-59
"Adhfe1",1.0380493777051e-07,5.19239148821752,0.0786834618796828,"OK",3.21279377974415e-07
"Vcpip1",9.14996004933493e-07,4.77134563540878,0.0724665070965405,"OK",2.64181339109878e-06
"Snhg6",4.16654326886906e-28,10.9294731017072,0.168878452381606,"OK",3.23031601642199e-27
"Cops5",1.28206952221955e-16,8.19223755592975,0.126117000219786,"OK",6.63098283120064e-16
"Cspp1",9.16956691699776e-07,4.77091454447284,0.0724709280631704,"OK",2.64649272828738e-06
"Arfgef1",0.000173830117338197,3.57692472520045,0.0538290086806397,"OK",0.000406517540441797
"Prex2",5.12318838337458e-122,23.4608407569015,0.365508546584965,"OK",2.01918472790824e-120
"Sulf1",1.44642248178489e-156,26.6320004590202,0.412143528994577,"OK",7.95685695986824e-155
"Ncoa2",5.77702167896577e-20,9.07322964414037,0.139818459171182,"OK",3.39896725238621e-19
"Tram1",8.44612536048509e-11,6.3872254524741,0.0978774732287711,"OK",3.20549194568581e-10
"Gm9947",1.20694729003886e-05,4.22270333554519,0.063641886286709,"OK",3.15582052591956e-05
"Msc",9.53537121625324e-18,8.49931823216418,0.130653430239767,"OK",5.13301034213798e-17
"Sbspon",1.29008709955759e-07,5.15178595933654,0.0663582905486064,"OK",3.96057502778792e-07
"Rpl7",4.35095953407694e-101,21.3124507472005,0.330206761278478,"OK",1.33865094914051e-99
"Ube2w",1.82501435310038e-06,4.63037568553438,0.0702397318478839,"OK",5.13312076767241e-06
"Eloc",1.07219260417819e-09,5.98647424879721,0.091619275482385,"OK",3.80225386374624e-09
"Ly96",8.91719003795492e-26,10.431346007642,0.160882385096494,"OK",6.39147396458942e-25
"Jph1",0.000133825003384709,3.64475177127109,0.0384941953612422,"OK",0.000317347700334067
"Pi15",1.34779610984054e-10,6.31534512520102,0.0957872109483957,"OK",5.05358618448881e-10
"Gsta3",2.28127066773893e-08,5.46756724774152,0.0834171518401713,"OK",7.39583959920026e-08
"Smap1",1.37080918481604e-60,16.3781028652333,0.254484189646606,"OK",2.22068235059481e-59
"Sdhaf4",0.000275964681780621,3.45419928478158,0.0518400953991248,"OK",0.00062994401260421
"Fam135a",0.00014428399575962,3.62535211814892,0.0543477847852344,"OK",0.000341007020796382
