"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"KCNMA1",2.84e-13,1.778744006,0.865,0.05,3.14e-09,"E3"
"FMNL2",3.09e-13,1.902854214,0.879,0.1,3.42e-09,"E3"
"HEXB",3.79e-13,1.881134017,0.965,0.5,4.21e-09,"E3"
"FGL2",3.93e-13,2.031052724,1,0.6,4.35e-09,"E3"
"ARL4C",4.63e-13,2.449163283,0.915,0.2,5.14e-09,"E3"
"FUCA1",4.94e-13,1.870150049,0.887,0.1,5.48e-09,"E3"
"PTMS",5.37e-13,1.762321168,0.908,0.15,5.95e-09,"E3"
"STAT1",6.85e-13,1.695590573,1,0.75,7.59e-09,"E3"
"ACP5",1.1e-12,2.567247981,0.936,0.45,1.22e-08,"E3"
"ARL6IP5",3.6e-12,1.36394315,0.993,0.6,3.99e-08,"E3"
"PLTP",4.71e-12,2.210019498,0.83,0.05,5.22e-08,"E3"
"BMP2K",6.3e-12,1.513765167,0.986,0.45,6.99e-08,"E3"
"FRMD4B",6.53e-12,1.708922557,0.83,0.05,7.24e-08,"E3"
"LHFPL2",1.34e-11,2.003406601,0.915,0.2,1.49e-07,"E3"
"VSIG4",1.76e-11,2.016471512,0.816,0.05,1.95e-07,"E3"
"TNFSF13B",1.97e-11,1.274378743,1,0.55,2.19e-07,"E3"
"SIGLEC1",2.31e-11,1.387925654,0.73,0,2.56e-07,"E3"
"ARHGAP18",2.34e-11,1.760644591,0.95,0.45,2.6e-07,"E3"
"ATP6V0E1",2.53e-11,1.238229977,0.979,0.85,2.81e-07,"E3"
"HLA-DOA",3.31e-11,1.527076145,0.844,0.1,3.67e-07,"E3"
"NUPR1",3.32e-11,2.251271824,0.851,0.1,3.68e-07,"E3"
"NRP2",4.35e-11,1.861856842,0.865,0.15,4.83e-07,"E3"
"SCD",6.6e-11,1.999512685,0.794,0.05,7.32e-07,"E3"
"HEXA",6.75e-11,1.606058336,0.915,0.25,7.49e-07,"E3"
"HLA-DMA",7.58e-11,1.342248079,1,0.8,8.4e-07,"E3"
"SLC40A1",8.57e-11,3.461331152,0.851,0.15,9.5e-07,"E3"
"SPRED1",1.04e-10,1.90119499,0.901,0.35,1.15e-06,"E3"
"TTYH3",1.72e-10,1.644235099,0.894,0.2,1.91e-06,"E3"
"IL32",1.76e-10,1.66780357,0.695,0,1.95e-06,"E3"
"CTSA",1.95e-10,1.595158268,0.965,0.6,2.16e-06,"E3"
"ADAMDEC1",2.03e-10,2.533796134,0.823,0.15,2.25e-06,"E3"
"SLC7A8",2.58e-10,1.387925654,0.688,0,2.86e-06,"E3"
"SCPEP1",4.35e-10,1.619240604,0.972,0.6,4.82e-06,"E3"
"GNPTAB",5.19e-10,1.400800262,0.887,0.25,5.75e-06,"E3"
"C2",6.14e-10,1.893448012,0.858,0.2,6.81e-06,"E3"
"CMKLR1",7.51e-10,1.632409663,0.759,0.05,8.32e-06,"E3"
"AXL",7.79e-10,1.434095835,0.667,0,8.64e-06,"E3"
"DSC2",7.79e-10,1.173331603,0.667,0,8.64e-06,"E3"
"HLA-DRA",1.04e-09,0.803339771,1,1,1.16e-05,"E3"
"ACP2",1.22e-09,1.433751558,0.794,0.1,1.35e-05,"E3"
"AP1B1",1.6e-09,1.43311379,0.851,0.15,1.78e-05,"E3"
"AKR1A1",2.02e-09,1.463662853,0.879,0.25,2.23e-05,"E3"
"COMT",2.41e-09,1.269839584,0.887,0.25,2.67e-05,"E3"
"STOM",2.63e-09,1.378773955,0.887,0.25,2.91e-05,"E3"
"FRMD4A",3.12e-09,1.164229396,0.638,0,3.46e-05,"E3"
"RNF130",3.88e-09,1.142277023,0.993,0.75,4.3e-05,"E3"
"SNX6",4.36e-09,1.374176244,0.95,0.55,4.83e-05,"E3"
"GLB1",4.36e-09,1.094068324,0.631,0,4.83e-05,"E3"
"LAMP1",4.8e-09,1.189296156,0.95,0.8,5.32e-05,"E3"
"PRCP",6.21e-09,1.482500467,0.879,0.25,6.89e-05,"E3"
"NPL",6.94e-09,1.488537522,0.801,0.15,7.69e-05,"E3"
"LRRC25",8.35e-09,1,0.617,0,9.25e-05,"E3"
"BST2",1.42e-08,1.213854974,0.936,0.4,0.000157744,"E3"
"SAMHD1",1.63e-08,1.083598588,0.979,0.8,0.000181027,"E3"
"VOPP1",1.77e-08,1.480057291,0.865,0.3,0.000196211,"E3"
"PPT1",1.96e-08,1.078736671,0.993,0.85,0.000217423,"E3"
"PLXDC2",1.97e-08,1.234898743,0.979,0.65,0.000217963,"E3"
"ACE",2.13e-08,1.141219418,0.596,0,0.000236538,"E3"
"HNMT",2.59e-08,1.300625709,0.872,0.25,0.000287724,"E3"
"MGAT4A",2.77e-08,1.352301744,0.894,0.4,0.000306918,"E3"
"GNPDA1",2.88e-08,1.333969921,0.745,0.1,0.000318963,"E3"
"CD4",3.04e-08,1.334599742,0.95,0.7,0.00033761,"E3"
"SUCNR1",3.9e-08,1.278301162,0.582,0,0.000432215,"E3"
"TSPAN4",4.28e-08,1.309866478,0.773,0.15,0.000474627,"E3"
"CBR1",4.66e-08,1.12382456,0.702,0.05,0.000516756,"E3"
"ATP6AP2",4.92e-08,1.126912112,0.957,0.85,0.000544979,"E3"
"CCL18",5.14e-08,4.719281929,0.759,0.25,0.000569701,"E3"
"NUB1",5.64e-08,1.46640823,0.823,0.2,0.000625906,"E3"
"CD59",6.69e-08,1.288576146,0.83,0.2,0.000741789,"E3"
