gene,type
PSMC6,AMINOACID
PSMA1,AMINOACID
PSMA2,AMINOACID
PSMA3,AMINOACID
PSMA4,AMINOACID
PSMA5,AMINOACID
PSMA6,AMINOACID
PSMA7,AMINOACID
PSMB1,AMINOACID
PSMB2,AMINOACID
PSMB3,AMINOACID
PSMB4,AMINOACID
PSMB5,AMINOACID
PSMB6,AMINOACID
PSMB7,AMINOACID
PSMB8,AMINOACID
PSMB9,AMINOACID
PSMB10,AMINOACID
PSMD1,AMINOACID
PSMD2,AMINOACID
PSMD3,AMINOACID
PSMD4,AMINOACID
PSMD5,AMINOACID
PSMD6,AMINOACID
PSMD7,AMINOACID
PSMD8,AMINOACID
PSMD9,AMINOACID
PSMD10,AMINOACID
PSMD11,AMINOACID
PSMD12,AMINOACID
PSMD13,AMINOACID
PSME1,AMINOACID
PSME2,AMINOACID
PSME3,AMINOACID
PSMF1,AMINOACID
RPL39L,AMINOACID
SERINC2,AMINOACID
TPH2,AMINOACID
PAOX,AMINOACID
ADO,AMINOACID
GRHPR,AMINOACID
CCBL1,AMINOACID
ALDH18A1,AMINOACID
RPS27L,AMINOACID
SMOX,AMINOACID
LARS,AMINOACID
AFMID,AMINOACID
AMDHD1,AMINOACID
APIP,AMINOACID
ASRGL1,AMINOACID
BHMT2,AMINOACID
C9orf41,AMINOACID
DHTKD1,AMINOACID
DUOX1,AMINOACID
DUOX2,AMINOACID
MRI1,AMINOACID
ENOPH1,AMINOACID
ETHE1,AMINOACID
GADL1,AMINOACID
GSR,AMINOACID
IDO2,AMINOACID
CCBL2,AMINOACID
ASPG,AMINOACID
ADI1,AMINOACID
NMRAL1,AMINOACID
PYCR2,AMINOACID
PYCRL,AMINOACID
PPM1K,AMINOACID
PSMB11,AMINOACID
PSME4,AMINOACID
PSTK,AMINOACID
RPL10L,AMINOACID
RPL22L1,AMINOACID
RPL36AL,AMINOACID
SCLY,AMINOACID
SEPSECS,AMINOACID
CARNS1,AMINOACID
LIPT2,AMINOACID
SERINC4,AMINOACID
SERINC5,AMINOACID
PAPSS2,AMINOACID
TH,AMINOACID
TPO,AMINOACID
TPH1,AMINOACID
ASMT,AMINOACID
DIO1,AMINOACID
IYD,AMINOACID
GPT2,AMINOACID
DIO2,AMINOACID
ADC,AMINOACID
PPP2R1A,Carbohydrate
PPP2R1B,Carbohydrate
PGD,Carbohydrate
PGLS,Carbohydrate
AAAS,Carbohydrate
GOT1,Carbohydrate
GOT2,Carbohydrate
AKR1A1,Carbohydrate
AKR1B1,Carbohydrate
ALDOA,Carbohydrate
ALDOB,Carbohydrate
ALDOC,Carbohydrate
AMY2B,Carbohydrate
AMY2A,Carbohydrate
AMY1A,Carbohydrate
NAGLU,Carbohydrate
ARSB,Carbohydrate
B3GAT1,Carbohydrate
B3GAT2,Carbohydrate
B3GAT3,Carbohydrate
B3GNT1,Carbohydrate
