gene,type
PSAP,LIPID
SAR1B,LIPID
SCAP,LIPID
OXCT1,LIPID
FHL2,LIPID
SOAT1,LIPID
SOAT2,LIPID
SP1,LIPID
SPHK1,LIPID
SPHK2,LIPID
MED21,LIPID
SREBF2,LIPID
STAR,LIPID
STARD4,LIPID
STARD5,LIPID
STARD6,LIPID
STARD7,LIPID
STS,LIPID
SULT2A1,LIPID
MED22,LIPID
SYNJ1,LIPID
SYNJ2,LIPID
MED24,LIPID
THRAP3,LIPID
MED12,LIPID
MED13,LIPID
TBL1XR1,LIPID
TBL1X,LIPID
TEAD1,LIPID
TEAD2,LIPID
TEAD3,LIPID
TEAD4,LIPID
PTGES3,LIPID
TAZ,LIPID
TBXAS1,LIPID
ACOT11,LIPID
THRSP,LIPID
ACAA1,LIPID
ACAT1,LIPID
ACAA2,LIPID
PLIN3,LIPID
RARRES3,LIPID
TPTE,LIPID
TNFRSF21,LIPID
TXNRD1,LIPID
SLC25A1,LIPID
VAPA,LIPID
VAPB,LIPID
HDLBP,LIPID
SLC27A2,LIPID
LPGAT1,LIPID
FIG4,LIPID
YAP1,LIPID
ZDHHC8,LIPID
CDK8,LIPID
RAN,LIPID
RAB4A,LIPID
PLD1,LIPID
LBR,LIPID
MCEE,LIPID
HMGCL,LIPID
PNPLA3,LIPID
AMN,LIPID
CERK,LIPID
TMEM55B,LIPID
CRLS1,LIPID
DDHD1,LIPID
MMAA,LIPID
PI4KB,LIPID
INPP5J,LIPID
PCSK9,LIPID
EPT1,LIPID
SGPL1,LIPID
SH3KBP1,LIPID
INPP5K,LIPID
SIN3A,LIPID
SIN3B,LIPID
MED31,LIPID
SGPP1,LIPID
SGPP2,LIPID
SCARB1,LIPID
SUMF1,LIPID
SUMF2,LIPID
MED20,LIPID
HSD3B7,LIPID
B3GALNT1,LIPID
ARNTL,LIPID
BMP1,LIPID
COL4A3BP,LIPID
CHDH,LIPID
ACOT1,LIPID
ALDH3A2,LIPID
MCAT,LIPID
HMGCR,LIPID
INPP5E,LIPID
MGLL,LIPID
MYLIP,LIPID
PLA2G4C,LIPID
PIP4K2B,LIPID
PLEKHA1,LIPID
PLEKHA2,LIPID
PLEKHA3,LIPID
PLEKHA4,LIPID
PLEKHA5,LIPID
PLEKHA6,LIPID
PPARGC1A,LIPID
PTDSS2,LIPID
ACOT4,LIPID
RUFY1,LIPID
SARDH,LIPID
OLAH,LIPID
SGMS1,LIPID
SGMS2,LIPID
SREBF1,LIPID
ACAT2,LIPID
BAAT,LIPID
THEM4,LIPID
LDLRAP1,LIPID
APOA5,LIPID
PIK3C3,LIPID
PIK3R4,LIPID
CH25H,LIPID
SLC27A5,LIPID
TGS1,LIPID
CSNK2A1,LIPID
CYP4F22,LIPID
MED25,LIPID
MED14,LIPID
MED30,LIPID
MED4,LIPID
AACS,LIPID
ABHD3,LIPID
ABHD4,LIPID
ABHD5,LIPID
ACBD4,LIPID
ACBD5,LIPID
ACBD6,LIPID
ACBD7,LIPID
ACSBG1,LIPID
ACSBG2,LIPID
ACAD10,LIPID
ACAD11,LIPID
ACOT6,LIPID
ACOXL,LIPID
ACSF2,LIPID
ACSF3,LIPID
ACSM3,LIPID
ACSS3,LIPID
NCEH1,LIPID
AGK,LIPID
ANKRD1,LIPID
ARSG,LIPID
ARSH,LIPID
ARSI,LIPID
ARSJ,LIPID
ARSK,LIPID
ARV1,LIPID
ACER2,LIPID
ASAH2,LIPID
ACER1,LIPID
AWAT1,LIPID
AWAT2,LIPID
BDH2,LIPID
CARM1,LIPID
CBR4,LIPID
CDK19,LIPID
CEPT1,LIPID
CHD9,LIPID
CHPT1,LIPID
COQ2,LIPID
COQ5,LIPID
COQ9,LIPID
CREB3L3,LIPID
SLC44A1,LIPID
SLC44A2,LIPID
SLC44A3,LIPID
SLC44A4,LIPID
SLC44A5,LIPID
CUBN,LIPID
DDHD2,LIPID
DECR2,LIPID
DEGS1,LIPID
DEGS2,LIPID
DGAT2L6,LIPID
DGAT2,LIPID
HSD17B11,LIPID
HSD17B12,LIPID
HSD17B13,LIPID
HSD17B14,LIPID
PDSS2,LIPID
DPEP2,LIPID
DPEP3,LIPID
PDSS1,LIPID
ELOVL5,LIPID
ELOVL6,LIPID
ELOVL7,LIPID
ENPP6,LIPID
ENPP7,LIPID
CES3,LIPID
ESYT1,LIPID
ESYT2,LIPID
ESYT3,LIPID
FAAH2,LIPID
FABP9,LIPID
FAR1,LIPID
FAR2,LIPID
FADS1,LIPID
FADS2,LIPID
GBA2,LIPID
GDE1,LIPID
GDPD1,LIPID
GDPD3,LIPID
GDPD5,LIPID
GLB1L,LIPID
GLTPD1,LIPID
GPD1L,LIPID
GRHL1,LIPID
GPIHBP1,LIPID
INPP4A,LIPID
INPP4B,LIPID
INSIG2,LIPID
LIPH,LIPID
LIPI,LIPID
LIPJ,LIPID
LIPK,LIPID
LIPM,LIPID
LIPN,LIPID
PNLIPRP3,LIPID
LMF1,LIPID
LMF2,LIPID
LSR,LIPID
LCLAT1,LIPID
MBOAT1,LIPID
MBOAT2,LIPID
LPCAT3,LIPID
MBOAT7,LIPID
MED13L,LIPID
MED10,LIPID
MED11,LIPID
MED18,LIPID
MED19,LIPID
MED28,LIPID
MED29,LIPID
MED9,LIPID
MFSD2A,LIPID
MOGAT1,LIPID
MOGAT2,LIPID
MOGAT3,LIPID
MTF1,LIPID
MTMR4,LIPID
MTMR14,LIPID
NPC1L1,LIPID
SMPD3,LIPID
SMPD4,LIPID
NUDT19,LIPID
NUDT7,LIPID
ORMDL1,LIPID
ORMDL2,LIPID
ORMDL3,LIPID
PIK3C2A,LIPID
PI4K2A,LIPID
PI4K2B,LIPID
PLA2G4D,LIPID
PLA2G4E,LIPID
PLA2G4F,LIPID
LPCAT1,LIPID
LPCAT2,LIPID
PECR,LIPID
PTGES2,LIPID
PHOSPHO1,LIPID
PIK3R5,LIPID
PIK3R6,LIPID
PIP4K2C,LIPID
PIP5K1A,LIPID
PIP5K1B,LIPID
PIP5K1C,LIPID
PITPNM1,LIPID
PITPNM2,LIPID
PITPNM3,LIPID
PLEKHA8,LIPID
PLA1A,LIPID
PLA2R1,LIPID
PLB1,LIPID
PLBD1,LIPID
AGPAT6,LIPID
LPCAT4,LIPID
AGPAT9,LIPID
PLD3,LIPID
PLD4,LIPID
PNPLA2,LIPID
PNPLA5,LIPID
PNPLA6,LIPID
PNPLA7,LIPID
PNPLA8,LIPID
GPAT2,LIPID
ACP6,LIPID
PPM1L,LIPID
PPARGC1B,LIPID
PTPLAD1,LIPID
PTPLAD2,LIPID
PTPMT1,LIPID
PEX11A,LIPID
SLC27A1,LIPID
SLC27A3,LIPID
TECRL,LIPID
SRD5A3,LIPID
SACM1L,LIPID
SCD5,LIPID
INPP5D,LIPID
INPPL1,LIPID
SMARCD3,LIPID
TNFAIP8,LIPID
THEM5,LIPID
TMEM86B,LIPID
TNFAIP8L1,LIPID
TNFAIP8L2,LIPID
TPTE2,LIPID
FITM1,LIPID
VAC14,LIPID
WWTR1,LIPID
PLD6,LIPID
PTGR2,LIPID
CHAT,LIPID
C10orf129,LIPID
AHRR,LIPID
FAM120B,LIPID
HMGCLL1,LIPID
PGS1,LIPID
INPP5F,LIPID
TNFAIP8L3,LIPID
NCOA6,LIPID
CYP4A22,LIPID
FABP12,LIPID
PTPLA,LIPID
PTPLB,LIPID
HDAC3,LIPID
NCOR1,LIPID
MED26,LIPID
CLTA,LIPID
NFYA,LIPID
PCSK6,LIPID
PPARG,LIPID
ABCG1,LIPID
HSD17B7,LIPID
CLTC,LIPID
OCRL,LIPID
ACACA,LIPID
NR1H3,LIPID
NFYC,LIPID
MED1,LIPID
NCOA1,LIPID
MED27,LIPID
CYP2U1,LIPID
TIAM2,LIPID
MED8,LIPID
NR1H4,LIPID
MED15,LIPID
MED23,LIPID
MED16,LIPID
NCOR2,LIPID
NCOA3,LIPID
PISD,LIPID
NEU4,LIPID
AKR1B15,LIPID
NT5C2,NUCLEOTIDE
NT5E,NUCLEOTIDE
ADA,NUCLEOTIDE
ADK,NUCLEOTIDE
AGXT2,NUCLEOTIDE
AMPD1,NUCLEOTIDE
AMPD2,NUCLEOTIDE
AMPD3,NUCLEOTIDE
APRT,NUCLEOTIDE
UPB1,NUCLEOTIDE
CAT,NUCLEOTIDE
CDA,NUCLEOTIDE
DCK,NUCLEOTIDE
DCTD,NUCLEOTIDE
DGUOK,NUCLEOTIDE
DPYD,NUCLEOTIDE
DPYS,NUCLEOTIDE
ENTPD1,NUCLEOTIDE
ENTPD2,NUCLEOTIDE
ENTPD3,NUCLEOTIDE
ENTPD4,NUCLEOTIDE
ENTPD5,NUCLEOTIDE
ENTPD6,NUCLEOTIDE
GLRX,NUCLEOTIDE
GMPR,NUCLEOTIDE
GMPR2,NUCLEOTIDE
GPX1,NUCLEOTIDE
GMPS,NUCLEOTIDE
GDA,NUCLEOTIDE
HPRT1,NUCLEOTIDE
IMPDH1,NUCLEOTIDE
IMPDH2,NUCLEOTIDE
AK1,NUCLEOTIDE
AK2,NUCLEOTIDE
AK5,NUCLEOTIDE
CMPK1,NUCLEOTIDE
GUK1,NUCLEOTIDE
TK2,NUCLEOTIDE
DTYMK,NUCLEOTIDE
NME1,NUCLEOTIDE
NME2,NUCLEOTIDE
NME4,NUCLEOTIDE
NUDT5,NUCLEOTIDE
PNP,NUCLEOTIDE
PPAT,NUCLEOTIDE
GART,NUCLEOTIDE
PFAS,NUCLEOTIDE
PAICS,NUCLEOTIDE
ADSL,NUCLEOTIDE
ATIC,NUCLEOTIDE
ADSS,NUCLEOTIDE
CAD,NUCLEOTIDE
UMPS,NUCLEOTIDE
DHODH,NUCLEOTIDE
RRM1,NUCLEOTIDE
RRM2,NUCLEOTIDE
TXN,NUCLEOTIDE
TXNRD1,NUCLEOTIDE
TYMP,NUCLEOTIDE
TYMS,NUCLEOTIDE
UCK1,NUCLEOTIDE
UCK2,NUCLEOTIDE
UPP1,NUCLEOTIDE
XDH,NUCLEOTIDE
TK1,NUCLEOTIDE
ITPA,NUCLEOTIDE
AK7,NUCLEOTIDE
NT5C,NUCLEOTIDE
NT5M,NUCLEOTIDE
ADSSL1,NUCLEOTIDE
UPP2,NUCLEOTIDE
NT5C1A,NUCLEOTIDE
NT5C1B,NUCLEOTIDE
DUT,NUCLEOTIDE
NUDT13,NUCLEOTIDE
POMP,NUCLEOTIDE
NUDT1,NUCLEOTIDE
ADAL,NUCLEOTIDE
DDX31,NUCLEOTIDE
ENTPD7,NUCLEOTIDE
ENTPD8,NUCLEOTIDE
GSR,NUCLEOTIDE
LHPP,NUCLEOTIDE
NUDT15,NUCLEOTIDE
NUDT16,NUCLEOTIDE
CTPS2,NUCLEOTIDE
RRM2B,NUCLEOTIDE
DCTPP1,NUCLEOTIDE
NUDT18,NUCLEOTIDE
NUDT9,NUCLEOTIDE
ACO2,TCA
NDUFAB1,TCA
ATP5G1,TCA
ATP5G2,TCA
ATP5G3,TCA
ATP5A1,TCA
ATP5B,TCA
ATP5D,TCA
ATP5E,TCA
ATP5F1,TCA
ATP5C1,TCA
ATP5I,TCA
ATP5J2,TCA
ATP5L,TCA
ATP5O,TCA
ATP5H,TCA
ATP5J,TCA
ATP5S,TCA
BSG,TCA
SDHC,TCA
NDUFAF1,TCA
CS,TCA
COX7A2L,TCA
COX5A,TCA
COX5B,TCA
COX6A1,TCA
COX6B1,TCA
COX6C,TCA
COX7B,TCA
COX7C,TCA
COX8A,TCA
COX11,TCA
COX4I1,TCA
CYC1,TCA
CYCS,TCA
SDHA,TCA
SDHB,TCA
SDHD,TCA
DLD,TCA
ETFA,TCA
ETFB,TCA
FH,TCA
IDH3A,TCA
IDH3B,TCA
IDH3G,TCA
IDH2,TCA
LDHA,TCA
LDHB,TCA
LDHC,TCA
LDHAL6B,TCA
GLO1,TCA
LRPPRC,TCA
MDH2,TCA
SLC16A1,TCA
SLC16A8,TCA
SLC16A3,TCA
NDUFA7,TCA
NDUFC2,TCA
NDUFA12,TCA
NDUFB3,TCA
NDUFA6,TCA
NDUFB4,TCA
NDUFA13,TCA
NDUFB6,TCA
NDUFB7,TCA
NDUFB9,TCA
NDUFA2,TCA
NDUFA3,TCA
NDUFB8,TCA
NDUFB10,TCA
NDUFB2,TCA
NDUFC1,TCA
NDUFA1,TCA
NDUFB1,TCA
NDUFS5,TCA
NDUFB5,TCA
NNT,TCA
NDUFS1,TCA
NDUFV1,TCA
NDUFS2,TCA
NDUFA10,TCA
NDUFA9,TCA
NDUFA5,TCA
NDUFS3,TCA
NDUFV2,TCA
NDUFS8,TCA
NDUFS7,TCA
NDUFA4,TCA
NDUFS6,TCA
NDUFV3,TCA
NDUFA8,TCA
NDUFS4,TCA
OGDH,TCA
DLST,TCA
DLAT,TCA
PDHA1,TCA
PDHB,TCA
PDHX,TCA
PDK1,TCA
PDK2,TCA
PDK3,TCA
PDK4,TCA
PDP1,TCA
PDP2,TCA
PPARD,TCA
RXRA,TCA
SUCLA2,TCA
SUCLG2,TCA
SCO1,TCA
SCO2,TCA
SUCLG1,TCA
SURF1,TCA
TRAP1,TCA
UCP1,TCA
UCP2,TCA
SLC25A27,TCA
UQCRC1,TCA
UQCRC2,TCA
UQCRB,TCA
UQCRH,TCA
UQCRFS1,TCA
UQCRQ,TCA
UQCR10,TCA
UQCR11,TCA
ACAD9,TCA
NDUFAF4,TCA
NUBPL,TCA
NDUFB11,TCA
COX18,TCA
TACO1,TCA
LDHAL6A,TCA
NDUFA11,TCA
ECSIT,TCA
NDUFAF3,TCA
COX16,TCA
COX19,TCA
COQ10A,TCA
COQ10B,TCA
D2HGDH,TCA
ADHFE1,TCA
L2HGDH,TCA
NDUFAF2,TCA
TMEM126B,TCA
PDPR,TCA
SLC25A14,TCA
UCP3,TCA
ETFDH,TCA
HAGH,TCA
NT5E,VITAMIN
ABCD4,VITAMIN
AOX1,VITAMIN
AKR1B10,VITAMIN
AKR1C1,VITAMIN
AKR1C3,VITAMIN
AKR1C4,VITAMIN
APOA1,VITAMIN
APOA2,VITAMIN
APOA4,VITAMIN
APOB,VITAMIN
APOC2,VITAMIN
APOC3,VITAMIN
APOE,VITAMIN
APOM,VITAMIN
HLCS,VITAMIN
BST1,VITAMIN
BTD,VITAMIN
MTHFD1,VITAMIN
CD38,VITAMIN
CTRC,VITAMIN
ACACB,VITAMIN
CLPS,VITAMIN
CYP24A1,VITAMIN
CYP27B1,VITAMIN
CYP8B1,VITAMIN
CTRB1,VITAMIN
CYB5A,VITAMIN
SLC25A19,VITAMIN
DHFR,VITAMIN
FASN,VITAMIN
SLC19A1,VITAMIN
FOLR2,VITAMIN
ALDH1L1,VITAMIN
MTHFS,VITAMIN
SLC25A16,VITAMIN
GPHN,VITAMIN
SHMT1,VITAMIN
SHMT2,VITAMIN
GPC1,VITAMIN
GPC3,VITAMIN
GPC4,VITAMIN
GPC5,VITAMIN
GPC6,VITAMIN
GSTO1,VITAMIN
SLC2A1,VITAMIN
SLC2A3,VITAMIN
GIF,VITAMIN
LDLR,VITAMIN
LGMN,VITAMIN
LPL,VITAMIN
PNLIP,VITAMIN
LRP1,VITAMIN
LRP2,VITAMIN
MCCC1,VITAMIN
MCCC2,VITAMIN
MTR,VITAMIN
SLC25A32,VITAMIN
MOCS3,VITAMIN
ABCC1,VITAMIN
MOCS2,VITAMIN
MTHFD2,VITAMIN
MTHFR,VITAMIN
MTRR,VITAMIN
MUT,VITAMIN
QPRT,VITAMIN
COASY,VITAMIN
CYB5R3,VITAMIN
NNMT,VITAMIN
ENPP1,VITAMIN
ENPP2,VITAMIN
ENPP3,VITAMIN
NAMPT,VITAMIN
PCCA,VITAMIN
PCCB,VITAMIN
PDXK,VITAMIN
HSPG2,VITAMIN
PTGS2,VITAMIN
PANK2,VITAMIN
PANK3,VITAMIN
PANK4,VITAMIN
ACP5,VITAMIN
NADK,VITAMIN
PARP4,VITAMIN
PTGIS,VITAMIN
PC,VITAMIN
RBP1,VITAMIN
RBP2,VITAMIN
RBP4,VITAMIN
SDC1,VITAMIN
SDC2,VITAMIN
SDC3,VITAMIN
SDC4,VITAMIN
SLC5A6,VITAMIN
LRP12,VITAMIN
SLC23A1,VITAMIN
SLC23A2,VITAMIN
TCN1,VITAMIN
TCN2,VITAMIN
SLC19A2,VITAMIN
PRSS1,VITAMIN
PRSS3,VITAMIN
TTR,VITAMIN
VNN1,VITAMIN
VNN2,VITAMIN
GC,VITAMIN
LRAT,VITAMIN
AMN,VITAMIN
PARP9,VITAMIN
BCMO1,VITAMIN
BCO2,VITAMIN
GSTO2,VITAMIN
MMAA,VITAMIN
MMAB,VITAMIN
NMNAT1,VITAMIN
NMNAT2,VITAMIN
PNPO,VITAMIN
RDH11,VITAMIN
RFK,VITAMIN
THTPA,VITAMIN
AGRN,VITAMIN
LRP10,VITAMIN
LRP8,VITAMIN
NMNAT3,VITAMIN
PPCS,VITAMIN
TPK1,VITAMIN
VKORC1,VITAMIN
PPCDC,VITAMIN
FLAD1,VITAMIN
NADSYN1,VITAMIN
FPGS,VITAMIN
AASDHPPT,VITAMIN
SLC19A3,VITAMIN
SLC46A1,VITAMIN
CYP2R1,VITAMIN
APOA1BP,VITAMIN
ALDH1L2,VITAMIN
MMADHC,VITAMIN
CD320,VITAMIN
CTRB2,VITAMIN
CUBN,VITAMIN
DHFRL1,VITAMIN
GPC2,VITAMIN
GPIHBP1,VITAMIN
LMBRD1,VITAMIN
MMACHC,VITAMIN
MOCOS,VITAMIN
NFS1,VITAMIN
NUDT12,VITAMIN
PARP10,VITAMIN
PARP14,VITAMIN
PARP16,VITAMIN
PARP6,VITAMIN
PARP8,VITAMIN
PDZD11,VITAMIN
RFT1,VITAMIN
PLB1,VITAMIN
NAPRT1,VITAMIN
SLC22A13,VITAMIN
UBIAD1,VITAMIN
VKORC1L1,VITAMIN
MTHFD2L,VITAMIN
SLC5A8,VITAMIN
CARKD,VITAMIN
MTHFD1L,VITAMIN
ACACA,VITAMIN
PANK1,VITAMIN
MOCS1,VITAMIN
