"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SMAP2",2.26845727377117e-263,-0.62076793587239,0.322,0.524,5.25533496614568e-259,"0"
"VPREB3",1.92391358021539e-261,-0.402307645510361,0.001,0.133,4.45713059128499e-257,"0"
"ELL2",6.23956833420908e-261,-0.462444565855612,0.067,0.272,1.44552079598622e-256,"0"
"SWAP70",1.12723714213347e-259,-0.332112012229662,0.013,0.167,2.6114702871806e-255,"0"
"RALGPS2",1.15719777933748e-259,-0.36089583346925,0.012,0.167,2.68088009539114e-255,"0"
"SLAMF7",1.33526322065373e-259,0.272487028375447,0.285,0.096,3.09340430328851e-255,"0"
"PELI1",6.48271449653608e-259,-0.513415280879495,0.06,0.254,1.50185046741251e-254,"0"
"LINC01871",2.63994661517479e-254,0.310942896934161,0.311,0.114,6.11596432337543e-250,"0"
"SRSF2",4.03023249875261e-253,0.457727467269831,0.794,0.717,9.33683962986017e-249,"0"
"BCL11A",6.04544724804197e-252,-0.338928965290911,0.002,0.134,1.40054876395388e-247,"0"
"HIST1H2BG",1.46595384549753e-250,0.403044756839771,0.308,0.109,3.39617527386412e-246,"0"
"EZR",3.59496668165191e-250,-0.739074208802379,0.482,0.665,8.32845931138298e-246,"0"
"IFITM3",2.09166335497336e-249,-0.901759042740186,0.049,0.208,4.84575649446678e-245,"0"
"ITGAL",1.02618769955574e-247,0.406677589797896,0.482,0.242,2.37736904356079e-243,"0"
"CXCR4",8.24530421326786e-247,-1.06304425324308,0.683,0.778,1.91018962708777e-242,"0"
"CD160",1.68842085014995e-245,0.267225516062705,0.167,0.034,3.91156458354238e-241,"0"
"HLA-DRB1",3.94992170753536e-244,-1.22264102027497,0.358,0.484,9.15078361984718e-240,"0"
"BRD2",3.39638721703732e-243,0.547134481888485,0.82,0.707,7.86841026571036e-239,"0"
"CD96",9.29958220382006e-238,0.384887340932333,0.5,0.258,2.15443420915899e-233,"0"
"UBB",5.00876009140297e-236,0.518628402729444,0.962,0.949,1.16037945037533e-231,"0"
"SNX9",1.47985953268849e-235,-0.322956075781201,0.044,0.222,3.42839057937943e-231,"0"
"ACAP1",1.6891344906463e-235,0.429019678962192,0.66,0.433,3.91321787448028e-231,"0"
"LYZ",1.8107977117231e-235,-1.44130481285498,0.015,0.155,4.1950750587489e-231,"0"
"CD83",1.75202657450989e-234,-1.01094248927267,0.157,0.339,4.05891996516706e-230,"0"
