"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PIGR",0,3.64276358783514,0.831,0.029,0,"10"
"AGR2",0,3.58775242410961,0.861,0.029,0,"10"
"S100A6",0,3.48722505388854,0.991,0.708,0,"10"
"S100P",0,3.25923635772309,0.856,0.046,0,"10"
"ANXA2",0,3.00186045558458,0.91,0.227,0,"10"
"CD24",0,2.85674258165938,0.874,0.097,0,"10"
"MUC1",0,2.81001819533414,0.857,0.026,0,"10"
"APOE",0,4.17578662075181,0.451,0.027,0,"11"
"LYZ",0,4.10971661074457,0.911,0.109,0,"11"
"CTSB",0,3.55042976101965,0.855,0.183,0,"11"
"SPP1",0,3.35365686721733,0.277,0.013,0,"11"
"APOC1",0,3.25906649765458,0.456,0.014,0,"11"
"PSAP",0,3.15960037459252,0.894,0.286,0,"11"
"FTL",0,3.11206922601118,0.998,0.975,0,"11"
"AC020656.1",0,3.08320154297611,0.801,0.055,0,"11"
"CTSL",0,2.99194558711103,0.692,0.05,0,"11"
"C1QB",0,2.94709711229176,0.416,0.007,0,"11"
"KLRD1",0,2.07622951289168,0.877,0.101,0,"12"
"NKG7",0,2.01573571184324,0.968,0.217,0,"12"
"CMC1",0,1.94965397601721,0.838,0.174,0,"12"
"TRDC",0,1.88924280109047,0.702,0.047,0,"12"
"CCL4",0,1.82539202984523,0.882,0.22,0,"12"
"KLRB1",0,1.74868814233779,0.811,0.188,0,"12"
"XCL2",0,1.54588900592161,0.663,0.066,0,"12"
"KLRF1",0,1.49504143979588,0.584,0.021,0,"12"
"CCL5",0,1.47579888927039,0.951,0.44,0,"12"
"GZMA",0,1.47214566800285,0.916,0.235,0,"12"
"RGCC",0,1.8250499303375,0.862,0.33,0,"13"
"GZMK",0,1.76893112883378,0.795,0.198,0,"13"
"CXCR4",0,1.7496106543901,0.977,0.76,0,"13"
"DUSP2",0,1.64595590282068,0.929,0.558,0,"13"
"TUBA4A",0,1.43473577260665,0.874,0.424,0,"13"
"CRTAM",4.34255552353568e-296,1.38672729223972,0.492,0.084,1.00603983813751e-291,"13"
"ANXA1",8.00950224569559e-291,1.915767677748,0.704,0.401,1.8555613852603e-286,"13"
"CCL4",6.31334246300828e-232,2.49129268536873,0.614,0.232,1.46261204840513e-227,"13"
"HSPA1A",2.36326725193303e-160,1.39411189209889,0.856,0.767,5.47498124255325e-156,"13"
"CCL4L2",2.28181213108022e-92,1.68423537354036,0.328,0.104,5.28627416407354e-88,"13"
"COL1A1",0,6.09166868790933,0.892,0.049,0,"14"
"COL3A1",0,5.90240885158287,0.893,0.049,0,"14"
"COL1A2",0,5.65554027065153,0.888,0.039,0,"14"
"SPARC",0,4.51849654136705,0.914,0.031,0,"14"
"IGFBP7",0,4.46859552562336,0.948,0.034,0,"14"
"CALD1",0,4.3311688375969,0.954,0.019,0,"14"
"FN1",0,4.28165098704029,0.803,0.034,0,"14"
"DCN",0,4.09550878109807,0.746,0.012,0,"14"
"LUM",0,4.02696501635972,0.693,0.013,0,"14"
"POSTN",0,3.92781862838264,0.651,0.017,0,"14"
"HIST1H4C",0,2.73605396367952,0.802,0.619,0,"15"
"HMGB2",0,2.44191028212901,0.828,0.358,0,"15"
"HMGN2",0,2.19387626911186,0.917,0.573,0,"15"
"TOP2A",0,2.15957294333913,0.607,0.03,0,"15"
"MKI67",0,2.11945207030038,0.609,0.034,0,"15"
"TUBB",0,2.01286588803063,0.727,0.325,0,"15"
"CENPF",0,2.00588713547544,0.581,0.051,0,"15"
"STMN1",0,1.98345839776242,0.744,0.22,0,"15"
"TUBA1B",0,1.82007305393843,0.836,0.663,0,"15"
"HMGB1",0,1.73319877698958,0.992,0.922,0,"15"
"IGKC",0,8.34843333831293,0.874,0.354,0,"16"
"IGLC2",0,7.96830511169014,0.606,0.159,0,"16"
"IGHG1",0,7.45605521599428,0.802,0.076,0,"16"
"IGHA1",0,7.1953853223475,0.439,0.088,0,"16"
"IGHG3",0,7.18062085770601,0.777,0.094,0,"16"
"IGHG4",0,6.59395539525386,0.806,0.079,0,"16"
"JCHAIN",0,5.48603637081056,0.651,0.053,0,"16"
"IGLC3",3.75809715678642e-215,7.08648877396169,0.493,0.089,8.7063836831271e-211,"16"
"IGHG2",8.29019239606491e-112,4.13396163400846,0.194,0.018,1.92058887239636e-107,"16"
"IGHM",2.45320770796701e-24,4.10487994809094,0.302,0.133,5.68334629704718e-20,"16"
"IGFBP7",0,3.84852391007778,0.912,0.042,0,"17"
"SPARCL1",0,3.83164921180467,0.821,0.017,0,"17"
"COL4A1",0,3.4296109756383,0.73,0.019,0,"17"
"A2M",0,2.831493475489,0.846,0.055,0,"17"
"TCF4",0,2.69054247446249,0.821,0.139,0,"17"
"COL4A2",0,2.64751857342083,0.697,0.017,0,"17"
"HSPG2",0,2.61067548054189,0.829,0.036,0,"17"
"PECAM1",0,2.60508836823372,0.851,0.097,0,"17"
"STC1",1.23993232795838e-220,2.66390731715316,0.342,0.002,2.87255122418119e-216,"17"
"IGFBP5",1.36884639567024e-139,3.67886600917212,0.314,0.016,3.17120644484925e-135,"17"
"TPSB2",0,6.39664588022306,1,0.001,0,"18"
"TPSAB1",0,5.93277532704769,1,0.001,0,"18"
"CPA3",0,5.18000344291233,1,0,0,"18"
"MS4A2",0,3.54820249933385,0.984,0.001,0,"18"
"GATA2",0,2.94963800402902,0.961,0.003,0,"18"
"LTC4S",0,2.46813771436459,0.899,0.026,0,"18"
"HPGDS",1.49679799285642e-314,2.41554003615925,0.922,0.001,3.46763191005048e-310,"18"
"KIT",7.03894624751686e-290,2.74628982015162,0.922,0.005,1.63071267716223e-285,"18"
"SLC18A2",1.54139269432634e-277,2.56369356819885,0.853,0.002,3.57094445494583e-273,"18"
"CLU",5.21729230753292e-237,2.87755615982419,0.946,0.037,1.20869010888615e-232,"18"
"IRF7",9.79205176854528e-288,2.73074132080451,0.98,0.136,2.26852463321888e-283,"19"
"SEC61B",6.65672328337402e-244,2.69611414535153,1,0.421,1.54216308305926e-239,"19"
"PPP1R14B",2.28117387175735e-180,2.69316398605847,0.98,0.206,5.28479550870025e-176,"19"
"GPR183",2.84697668443764e-143,3.97656831358103,1,0.339,6.59559088483668e-139,"19"
"IRF4",5.86620970216383e-126,2.70495674243391,1,0.129,1.35902480170029e-121,"19"
"GZMB",3.70474973172595e-91,3.85874148823526,1,0.09,8.58279370348951e-87,"19"
"TCF4",3.09493552044755e-77,2.77463654714178,0.959,0.145,7.17003712022083e-73,"19"
"SOX4",1.57885889309198e-72,3.16793351535103,0.898,0.098,3.65774239762618e-68,"19"
"PTGDS",7.66282293340094e-49,3.87716925750078,0.449,0.01,1.775246188981e-44,"19"
"AREG",3.78625580989471e-33,2.79756980019029,0.837,0.293,8.77161883478308e-29,"19"
