,ERCC2,cluster,group
TCGA_TCGA-CC-A123-01A,6.300123188,B,B
TCGA_TCGA-EP-A2KA-01A,4.398825433,B,B
TCGA_TCGA-DD-AAED-01A,4.550968961,B,B
TCGA_TCGA-LG-A9QD-01A,4.123936578,B,B
TCGA_TCGA-G3-A3CH-01A,4.13816979,B,B
TCGA_TCGA-G3-AAV1-01A,4.325352821,B,B
TCGA_TCGA-ZS-A9CG-01A,4.906842616,B,B
TCGA_TCGA-DD-AAW3-01A,4.774984929,B,B
TCGA_TCGA-ED-A7PY-01A,4.216429424,B,B
TCGA_TCGA-G3-A3CI-01A,4.061178746,B,B
TCGA_TCGA-MI-A75H-01A,5.05352399,B,B
TCGA_TCGA-G3-AAV5-01A,5.431027531,B,B
TCGA_TCGA-ED-A7XP-01A,4.482352166,B,B
TCGA_TCGA-DD-A1ED-01A,4.063204024,B,B
TCGA_TCGA-2Y-A9GX-01A,4.324896232,B,B
TCGA_TCGA-MR-A520-01A,4.130562505,B,B
TCGA_TCGA-G3-A25T-01A,4.035513958,B,B
TCGA_TCGA-FV-A4ZP-01A,5.588050379,B,B
TCGA_TCGA-ZP-A9D0-01A,4.007620782,B,B
TCGA_TCGA-BC-A3KF-01A,4.023045606,B,B
TCGA_TCGA-O8-A75V-01A,4.807218514,B,B
TCGA_TCGA-DD-AADI-01A,5.12981358,B,B
TCGA_TCGA-DD-A39V-01A,5.525294474,B,B
TCGA_TCGA-DD-AACQ-01A,5.248266885,B,B
TCGA_TCGA-DD-A1EB-01A,4.382914097,B,B
TCGA_TCGA-KR-A7K7-01A,5.894928671,B,B
TCGA_TCGA-DD-AAVV-01A,4.703273066,B,B
TCGA_TCGA-DD-AADN-01A,5.060482718,B,B
TCGA_TCGA-LG-A9QC-01A,5.393880702,B,B
TCGA_TCGA-RC-A7S9-01A,4.451642021,B,B
TCGA_TCGA-CC-A7IL-01A,4.890446989,B,B
TCGA_TCGA-KR-A7K2-01A,4.807829412,B,B
TCGA_TCGA-DD-AADU-01A,4.085317892,B,B
TCGA_TCGA-DD-AADY-01A,5.154060141,B,B
TCGA_TCGA-RC-A7SF-01A,3.912627369,B,B
TCGA_TCGA-RC-A7SK-01A,4.795644321,B,B
TCGA_TCGA-DD-AAD8-01A,4.687655968,B,B
TCGA_TCGA-DD-AAEE-01A,4.626942532,B,B
TCGA_TCGA-DD-A119-01A,4.332438913,B,B
TCGA_TCGA-DD-A73F-01A,4.941135414,B,B
TCGA_TCGA-DD-A4NP-01A,4.26824109,B,B
TCGA_TCGA-DD-AAEK-01A,4.977757326,B,B
TCGA_TCGA-DD-A11D-01A,4.545413102,B,B
TCGA_TCGA-DD-A1EG-01A,5.203759637,B,B
TCGA_TCGA-PD-A5DF-01A,4.448282716,B,B
TCGA_TCGA-DD-A3A9-01A,4.548234102,B,B
TCGA_TCGA-2Y-A9H4-01A,4.408437224,B,B
TCGA_TCGA-DD-A118-01A,4.702594331,B,B
TCGA_TCGA-DD-A4NL-01A,3.947995234,B,B
TCGA_TCGA-3K-AAZ8-01A,5.572637703,B,B
TCGA_TCGA-MI-A75G-01A,4.897771979,B,B
TCGA_TCGA-DD-A3A6-01A,4.622727288,B,B
TCGA_TCGA-DD-A3A3-01A,4.042729855,B,B
TCGA_TCGA-CC-A7IH-01A,5.283233538,B,B
TCGA_TCGA-K7-A6G5-01A,4.394020873,B,B
TCGA_TCGA-BW-A5NO-01A,4.159305629,B,B
TCGA_TCGA-CC-5259-01A,4.832108744,B,B
TCGA_TCGA-2Y-A9H3-01A,4.278868368,B,B
TCGA_TCGA-UB-AA0V-01A,4.169446455,B,B
TCGA_TCGA-DD-A4NK-01A,4.634131846,B,B
TCGA_TCGA-2Y-A9H6-01A,4.138024422,B,B
TCGA_TCGA-BD-A2L6-01A,4.729064553,B,B
TCGA_TCGA-G3-A5SM-01A,4.397143927,B,B
TCGA_TCGA-BD-A3EP-01A,5.288890708,B,B
TCGA_TCGA-FV-A2QR-01A,4.724108064,B,B
TCGA_TCGA-DD-AAW2-01A,4.682872033,B,B
TCGA_TCGA-FV-A495-01A,4.760492933,B,B
TCGA_TCGA-BC-A10U-01A,4.815270991,B,B
TCGA_TCGA-ZS-A9CE-01A,4.92257162,B,B
TCGA_TCGA-G3-A7M8-01A,4.352940808,B,B
TCGA_TCGA-5R-AA1D-01A,3.856142778,B,B
TCGA_TCGA-DD-A3A1-01A,4.511465905,B,B
TCGA_TCGA-MI-A75E-01A,4.673863601,B,B
TCGA_TCGA-DD-AAEA-01A,5.220665155,B,B
TCGA_TCGA-G3-A25V-01A,4.39736185,B,B
TCGA_TCGA-CC-A9FS-01A,4.63288931,B,B
TCGA_TCGA-DD-A3A7-01A,4.672340812,B,B
TCGA_TCGA-G3-AAV0-01A,5.374042103,B,B
TCGA_TCGA-DD-AAE4-01A,4.256613148,B,B
TCGA_TCGA-DD-A3A8-01A,4.83106712,B,B
TCGA_TCGA-G3-A7M5-01A,4.863065665,B,B
TCGA_TCGA-CC-A3MC-01A,4.178284291,B,B
TCGA_TCGA-2V-A95S-01A,4.084153128,B,B
TCGA_TCGA-G3-A6UC-01A,4.98048227,B,B
TCGA_TCGA-BD-A3ER-01A,4.228773139,B,B
TCGA_TCGA-DD-A3A5-01A,4.524204566,B,B
TCGA_TCGA-CC-5262-01A,5.142443867,B,B
TCGA_TCGA-DD-AADG-01A,5.067322891,B,B
TCGA_TCGA-DD-AAW0-01A,4.653262848,B,B
TCGA_TCGA-DD-AACJ-01A,5.178173985,B,B
TCGA_TCGA-DD-AADL-01A,5.230135614,B,B
TCGA_TCGA-DD-A4NO-01A,4.456119472,B,B
TCGA_TCGA-G3-A7M7-01A,4.599876031,B,B
TCGA_TCGA-ES-A2HT-01A,4.214016134,B,B
TCGA_TCGA-DD-AACX-01A,4.622329047,B,B
TCGA_TCGA-2Y-A9GV-01A,4.758419787,B,B
TCGA_TCGA-DD-AACF-01A,4.575009191,B,B
TCGA_TCGA-G3-A25Z-01A,5.108003796,B,B
TCGA_TCGA-MI-A75C-01A,4.986671505,B,B
TCGA_TCGA-ZP-A9CV-01A,4.787667101,B,B
TCGA_TCGA-T1-A6J8-01A,5.253208709,B,B
TCGA_TCGA-DD-A1EK-01A,4.649329827,B,B
TCGA_TCGA-KR-A7K8-01A,4.954737518,B,B
TCGA_TCGA-DD-AAD6-01A,4.160563709,B,B
TCGA_TCGA-DD-A4NB-01A,4.061225968,B,B
TCGA_TCGA-WJ-A86L-01A,4.937997626,B,B
TCGA_TCGA-DD-AAEB-01A,4.328875804,B,B
TCGA_TCGA-2Y-A9GU-01A,4.584500003,B,B
TCGA_TCGA-DD-A73A-01A,4.335081497,B,B
TCGA_TCGA-RC-A6M4-01A,5.478452086,B,B
TCGA_TCGA-DD-AAVY-01A,5.187671916,B,B
TCGA_TCGA-G3-A5SL-01A,4.861061677,B,B
TCGA_TCGA-DD-AACG-01A,5.69370433,B,B
TCGA_TCGA-ED-A7XO-01A,5.165682316,B,B
TCGA_TCGA-DD-AACB-01A,5.12837319,B,B
TCGA_TCGA-DD-A73C-01A,4.427981387,B,B
TCGA_TCGA-DD-AAW1-01A,4.698793403,B,B
TCGA_TCGA-XR-A8TF-01A,4.504199119,B,B
TCGA_TCGA-DD-A39Y-01A,5.02306605,B,B
TCGA_TCGA-NI-A8LF-01A,3.530141499,B,B
TCGA_TCGA-DD-AADF-01A,4.252286713,B,B
TCGA_TCGA-DD-AAEI-01A,4.544505374,B,B
