,cluster,Immune,Fraction
825,B,Gamma delta T cell,0.61538834
826,B,Gamma delta T cell,0.716747626
827,B,Gamma delta T cell,0.649733326
828,B,Gamma delta T cell,0.617019402
829,B,Gamma delta T cell,0.609568039
830,A,Gamma delta T cell,0.595761858
831,A,Gamma delta T cell,0.635140896
832,A,Gamma delta T cell,0.656094751
833,B,Gamma delta T cell,0.64556785
834,B,Gamma delta T cell,0.704118199
835,A,Gamma delta T cell,0.63812489
836,A,Gamma delta T cell,0.635515193
837,B,Gamma delta T cell,0.611149964
838,B,Gamma delta T cell,0.670056094
839,A,Gamma delta T cell,0.683026365
840,B,Gamma delta T cell,0.726124573
841,B,Gamma delta T cell,0.666075191
842,A,Gamma delta T cell,0.683017605
843,A,Gamma delta T cell,0.5930441
844,A,Gamma delta T cell,0.620588408
845,A,Gamma delta T cell,0.631030671
846,B,Gamma delta T cell,0.652002192
847,B,Gamma delta T cell,0.690898194
848,A,Gamma delta T cell,0.645876177
849,A,Gamma delta T cell,0.651847939
850,A,Gamma delta T cell,0.634210969
851,B,Gamma delta T cell,0.659581852
852,B,Gamma delta T cell,0.701115996
853,B,Gamma delta T cell,0.699061586
854,B,Gamma delta T cell,0.598944252
855,B,Gamma delta T cell,0.613633455
856,B,Gamma delta T cell,0.644308788
857,B,Gamma delta T cell,0.64499959
858,B,Gamma delta T cell,0.691375654
859,B,Gamma delta T cell,0.628350343
860,B,Gamma delta T cell,0.634688291
861,B,Gamma delta T cell,0.710147746
862,A,Gamma delta T cell,0.626920258
863,B,Gamma delta T cell,0.639713036
864,B,Gamma delta T cell,0.692658615
865,B,Gamma delta T cell,0.704606083
866,B,Gamma delta T cell,0.676755271
867,A,Gamma delta T cell,0.642026388
868,A,Gamma delta T cell,0.646504454
869,A,Gamma delta T cell,0.641275505
870,B,Gamma delta T cell,0.642479145
871,B,Gamma delta T cell,0.67346286
872,B,Gamma delta T cell,0.683534933
873,A,Gamma delta T cell,0.697395725
874,A,Gamma delta T cell,0.662130643
875,B,Gamma delta T cell,0.653091823
876,B,Gamma delta T cell,0.658745518
877,A,Gamma delta T cell,0.652404189
878,B,Gamma delta T cell,0.610564372
879,B,Gamma delta T cell,0.624181918
880,B,Gamma delta T cell,0.613894964
881,A,Gamma delta T cell,0.672432334
882,A,Gamma delta T cell,0.675870479
883,B,Gamma delta T cell,0.621129337
884,A,Gamma delta T cell,0.69421284
885,A,Gamma delta T cell,0.677373368
886,B,Gamma delta T cell,0.646089511
887,B,Gamma delta T cell,0.637403517
888,A,Gamma delta T cell,0.651967729
889,B,Gamma delta T cell,0.62639099
890,B,Gamma delta T cell,0.666179834
891,B,Gamma delta T cell,0.624515329
892,B,Gamma delta T cell,0.624968534
893,B,Gamma delta T cell,0.682938258
894,B,Gamma delta T cell,0.659563705
895,B,Gamma delta T cell,0.611210639
896,B,Gamma delta T cell,0.658397587
897,B,Gamma delta T cell,0.63559483
898,A,Gamma delta T cell,0.668479177
899,A,Gamma delta T cell,0.683075847
900,B,Gamma delta T cell,0.666035554
901,B,Gamma delta T cell,0.664275489
902,B,Gamma delta T cell,0.686180028
903,B,Gamma delta T cell,0.692106937
904,B,Gamma delta T cell,0.647287952
905,A,Gamma delta T cell,0.648381934
906,B,Gamma delta T cell,0.69565864
907,B,Gamma delta T cell,0.619981444
908,B,Gamma delta T cell,0.665510121
909,B,Gamma delta T cell,0.634305322
910,B,Gamma delta T cell,0.658733241
911,A,Gamma delta T cell,0.655794337
912,A,Gamma delta T cell,0.654605032
913,A,Gamma delta T cell,0.658775565
914,B,Gamma delta T cell,0.663018232
915,A,Gamma delta T cell,0.671635765
916,B,Gamma delta T cell,0.65785069
917,B,Gamma delta T cell,0.674278303
918,B,Gamma delta T cell,0.673559788
919,B,Gamma delta T cell,0.773370668
920,B,Gamma delta T cell,0.631948171
921,A,Immature B cell,0.236385283
922,B,Immature B cell,0.355690567
923,B,Immature B cell,0.320070329
924,B,Immature B cell,0.428520505
925,B,Immature B cell,0.299482669
926,A,Immature B cell,0.395666884
927,A,Immature B cell,0.466180252
928,A,Immature B cell,0.290412924
929,B,Immature B cell,0.588766236
930,B,Immature B cell,0.316060081
931,A,Immature B cell,0.250469029
932,A,Immature B cell,0.256109745
933,B,Immature B cell,0.309260894
934,B,Immature B cell,0.336479157
935,B,Immature B cell,0.313999106
936,A,Immature B cell,0.277000701
937,B,Immature B cell,0.276609314
938,A,Immature B cell,0.30890248
939,B,Immature B cell,0.330569049
940,B,Immature B cell,0.282850013
941,B,Immature B cell,0.428413194
942,B,Immature B cell,0.315691567
943,B,Immature B cell,0.394248264
944,B,Immature B cell,0.31405441
945,A,Immature B cell,0.226119975
946,A,Immature B cell,0.306901407
947,A,Immature B cell,0.381070438
948,B,Immature B cell,0.324937322
949,B,Immature B cell,0.46769819
950,A,Immature B cell,0.347683042
951,A,Immature B cell,0.284767029
952,B,Immature B cell,0.292068435
953,B,Immature B cell,0.331908386
954,A,Immature B cell,0.349200074
955,B,Immature B cell,0.337883837
956,B,Immature B cell,0.311277492
957,A,Immature B cell,0.381583974
958,A,Immature B cell,0.348268607
959,A,Immature B cell,0.242707114
960,A,Immature B cell,0.373177633
961,B,Immature B cell,0.373588062
962,B,Immature B cell,0.34416941
963,A,Immature B cell,0.255264141
964,A,Immature B cell,0.328956729
965,A,Immature B cell,0.299147371
966,B,Immature B cell,0.385840795
967,B,Immature B cell,0.449472106
968,B,Immature B cell,0.411849763
969,B,Immature B cell,0.278347162
970,B,Immature B cell,0.316717196
971,B,Immature B cell,0.365101565
972,B,Immature B cell,0.335510568
973,B,Immature B cell,0.364557772
974,B,Immature B cell,0.359402674
975,B,Immature B cell,0.292468286
976,B,Immature B cell,0.34269809
977,A,Immature B cell,0.264848155
978,B,Immature B cell,0.334771641
979,B,Immature B cell,0.378301581
980,B,Immature B cell,0.345723074
981,B,Immature B cell,0.346768099
982,A,Immature B cell,0.283067955
983,A,Immature B cell,0.264911722
984,A,Immature B cell,0.278948525
985,B,Immature B cell,0.335318651
986,B,Immature B cell,0.452967602
987,B,Immature B cell,0.408548786
988,A,Immature B cell,0.526865458
989,A,Immature B cell,0.343741371
990,B,Immature B cell,0.307248006
991,B,Immature B cell,0.353781923
992,A,Immature B cell,0.274882234
993,B,Immature B cell,0.25323713
994,B,Immature B cell,0.305916968
995,B,Immature B cell,0.263357003
996,A,Immature B cell,0.491074777
997,A,Immature B cell,0.466688982
998,B,Immature B cell,0.285973242
999,A,Immature B cell,0.292582862
1000,A,Immature B cell,0.325307879
1001,B,Immature B cell,0.346834054
1002,B,Immature B cell,0.315170655
1003,A,Immature B cell,0.322066172
1004,B,Immature B cell,0.266590541
1005,B,Immature B cell,0.310018758
1006,B,Immature B cell,0.291430465
1007,B,Immature B cell,0.334500594
1008,B,Immature B cell,0.286133013
1009,B,Immature B cell,0.301992511
1010,B,Immature B cell,0.242860764
1011,B,Immature B cell,0.398461503
1012,B,Immature B cell,0.320395972
1013,A,Immature B cell,0.221909376
1014,A,Immature B cell,0.339471466
1015,B,Immature B cell,0.396825417
1016,B,Immature B cell,0.332203436
1017,B,Immature B cell,0.323639308
1018,B,Immature B cell,0.32829579
1019,B,Immature B cell,0.303039491
1020,A,Immature B cell,0.27093948
1021,B,Immature B cell,0.310823429
1022,B,Immature B cell,0.289514405
1023,B,Immature B cell,0.284761174
1024,B,Immature B cell,0.285311879
1025,B,Immature B cell,0.260703287
1026,A,Immature B cell,0.408749365
1027,A,Immature B cell,0.322910342
1028,A,Immature B cell,0.30498217
1029,B,Immature B cell,0.342179393
1030,A,Immature B cell,0.313583168
1031,B,Immature B cell,0.330889173
1032,B,Immature B cell,0.402036903
1033,B,Immature B cell,0.27459045
1034,B,Immature B cell,0.483042404
1035,B,Immature B cell,0.304571688
1036,A,Immature dendritic cell,0.608823704
1037,B,Immature dendritic cell,0.668696825
1038,B,Immature dendritic cell,0.695059585
1039,B,Immature dendritic cell,0.710421362
1040,B,Immature dendritic cell,0.636743114
1041,A,Immature dendritic cell,0.611162392
1042,A,Immature dendritic cell,0.745914535
1043,A,Immature dendritic cell,0.690307422
1044,B,Immature dendritic cell,0.368852146
1045,B,Immature dendritic cell,0.643332573
1046,A,Immature dendritic cell,0.649381812
1047,A,Immature dendritic cell,0.612778508
1048,B,Immature dendritic cell,0.698601621
1049,B,Immature dendritic cell,0.63527092
1050,B,Immature dendritic cell,0.670439959
1051,A,Immature dendritic cell,0.636154181
1052,B,Immature dendritic cell,0.697128405
1053,A,Immature dendritic cell,0.65241764
1054,B,Immature dendritic cell,0.633652028
1055,B,Immature dendritic cell,0.711164364
1056,B,Immature dendritic cell,0.685029439
1057,B,Immature dendritic cell,0.65641389
1058,B,Immature dendritic cell,0.715231636
1059,B,Immature dendritic cell,0.654798587
1060,A,Immature dendritic cell,0.643260109
1061,A,Immature dendritic cell,0.659405448
1062,A,Immature dendritic cell,0.669964444
1063,B,Immature dendritic cell,0.686970238
1064,B,Immature dendritic cell,0.702754375
1065,A,Immature dendritic cell,0.706860093
1066,A,Immature dendritic cell,0.653295435
1067,B,Immature dendritic cell,0.688953022
1068,B,Immature dendritic cell,0.69975397
1069,A,Immature dendritic cell,0.659009237
1070,B,Immature dendritic cell,0.658509577
1071,B,Immature dendritic cell,0.672059773
1072,A,Immature dendritic cell,0.752040435
1073,A,Immature dendritic cell,0.631769742
1074,A,Immature dendritic cell,0.611515128
1075,A,Immature dendritic cell,0.683635655
1076,B,Immature dendritic cell,0.678075922
1077,B,Immature dendritic cell,0.676277374
1078,A,Immature dendritic cell,0.661493562
1079,A,Immature dendritic cell,0.667155373
1080,A,Immature dendritic cell,0.638138826
1081,B,Immature dendritic cell,0.698040249
1082,B,Immature dendritic cell,0.736091866
1083,B,Immature dendritic cell,0.730244706
1084,B,Immature dendritic cell,0.619018776
1085,B,Immature dendritic cell,0.6476531
1086,B,Immature dendritic cell,0.646721727
1087,B,Immature dendritic cell,0.643598141
1088,B,Immature dendritic cell,0.715135296
1089,B,Immature dendritic cell,0.69239663
1090,B,Immature dendritic cell,0.700365027
1091,B,Immature dendritic cell,0.663155445
1092,A,Immature dendritic cell,0.608328976
1093,B,Immature dendritic cell,0.694668179
1094,B,Immature dendritic cell,0.719939555
1095,B,Immature dendritic cell,0.652259213
1096,B,Immature dendritic cell,0.706728053
1097,A,Immature dendritic cell,0.641287302
1098,A,Immature dendritic cell,0.633275315
1099,A,Immature dendritic cell,0.632803464
1100,B,Immature dendritic cell,0.661422351
1101,B,Immature dendritic cell,0.68217101
1102,B,Immature dendritic cell,0.658720597
1103,A,Immature dendritic cell,0.642073917
1104,A,Immature dendritic cell,0.695105968
1105,B,Immature dendritic cell,0.633718178
1106,B,Immature dendritic cell,0.690664325
1107,A,Immature dendritic cell,0.721416507
1108,B,Immature dendritic cell,0.624016089
1109,B,Immature dendritic cell,0.638422963
1110,B,Immature dendritic cell,0.623584687
1111,A,Immature dendritic cell,0.683721203
1112,A,Immature dendritic cell,0.67449801
1113,B,Immature dendritic cell,0.660860055
1114,A,Immature dendritic cell,0.653114467
1115,A,Immature dendritic cell,0.67264808
1116,B,Immature dendritic cell,0.702028492
1117,B,Immature dendritic cell,0.655996299
1118,A,Immature dendritic cell,0.664811087
1119,B,Immature dendritic cell,0.617341735
1120,B,Immature dendritic cell,0.62532484
1121,B,Immature dendritic cell,0.647854089
1122,B,Immature dendritic cell,0.663638657
1123,B,Immature dendritic cell,0.616813915
1124,B,Immature dendritic cell,0.681671304
1125,B,Immature dendritic cell,0.663338453
1126,B,Immature dendritic cell,0.662952592
1127,B,Immature dendritic cell,0.659090284
1128,A,Immature dendritic cell,0.63619975
1129,A,Immature dendritic cell,0.721262891
1130,B,Immature dendritic cell,0.713499521
1131,B,Immature dendritic cell,0.619308535
1132,B,Immature dendritic cell,0.672162894
1133,B,Immature dendritic cell,0.635928216
1134,B,Immature dendritic cell,0.669223894
1135,A,Immature dendritic cell,0.649105243
1136,B,Immature dendritic cell,0.644545135
1137,B,Immature dendritic cell,0.65196898
1138,B,Immature dendritic cell,0.678467424
1139,B,Immature dendritic cell,0.646385394
1140,B,Immature dendritic cell,0.61603095
1141,A,Immature dendritic cell,0.672117262
1142,A,Immature dendritic cell,0.649028615
1143,A,Immature dendritic cell,0.668415041
1144,B,Immature dendritic cell,0.675487349
1145,A,Immature dendritic cell,0.611974091
1146,B,Immature dendritic cell,0.65814037
1147,B,Immature dendritic cell,0.689899011
1148,B,Immature dendritic cell,0.654165518
1149,B,Immature dendritic cell,0.754795173
1150,B,Immature dendritic cell,0.658601055
1151,A,MDSC,0.485462186
1152,B,MDSC,0.652200776
1153,B,MDSC,0.633540184
1154,B,MDSC,0.821609798
1155,B,MDSC,0.56728316
1156,A,MDSC,0.657762276
1157,A,MDSC,0.931241749
1158,A,MDSC,0.649425199
1159,B,MDSC,0.628502977
1160,B,MDSC,0.50912309
1161,A,MDSC,0.593294605
1162,A,MDSC,0.496055555
1163,B,MDSC,0.662093491
1164,B,MDSC,0.710454604
1165,B,MDSC,0.62160519
1166,A,MDSC,0.498030502
1167,B,MDSC,0.65964922
1168,A,MDSC,0.665882063
1169,B,MDSC,0.489281251
1170,B,MDSC,0.575074971
1171,B,MDSC,0.824632676
1172,B,MDSC,0.598692172
1173,B,MDSC,0.702198902
1174,B,MDSC,0.591461258
1175,A,MDSC,0.599145539
1176,A,MDSC,0.625083898
1177,A,MDSC,0.756522084
1178,B,MDSC,0.634836896
1179,B,MDSC,0.875282349
1180,A,MDSC,0.785902419
1181,A,MDSC,0.733643722
1182,B,MDSC,0.583010054
1183,B,MDSC,0.690049688
1184,A,MDSC,0.698829922
1185,B,MDSC,0.633372435
1186,B,MDSC,0.615055908
1187,A,MDSC,0.803156983
1188,A,MDSC,0.586573452
1189,A,MDSC,0.596320667
1190,A,MDSC,0.685746574
1191,B,MDSC,0.770144031
1192,B,MDSC,0.656448374
1193,A,MDSC,0.572987749
1194,A,MDSC,0.673796811
1195,A,MDSC,0.572555301
1196,B,MDSC,0.706322832
1197,B,MDSC,0.759261884
1198,B,MDSC,0.756395718
1199,B,MDSC,0.621136054
1200,B,MDSC,0.547570639
1201,B,MDSC,0.662898783
1202,B,MDSC,0.70343581
1203,B,MDSC,0.7035551
1204,B,MDSC,0.752398133
1205,B,MDSC,0.604435734
1206,B,MDSC,0.62506353
1207,A,MDSC,0.534732126
1208,B,MDSC,0.722510654
1209,B,MDSC,0.69997056
1210,B,MDSC,0.57272295
1211,B,MDSC,0.750692798
1212,A,MDSC,0.580593466
1213,A,MDSC,0.520873349
1214,A,MDSC,0.542544132
1215,B,MDSC,0.714207053
1216,B,MDSC,0.716796883
1217,B,MDSC,0.700013427
1218,A,MDSC,0.830171263
1219,A,MDSC,0.735409664
1220,B,MDSC,0.488324025
1221,B,MDSC,0.721235635
1222,A,MDSC,0.648360809
1223,B,MDSC,0.602815024
1224,B,MDSC,0.687653387
1225,B,MDSC,0.47602182
1226,A,MDSC,0.835680016
1227,A,MDSC,0.832187847
1228,B,MDSC,0.657185799
1229,A,MDSC,0.616645302
1230,A,MDSC,0.557734282
1231,B,MDSC,0.759880323
1232,B,MDSC,0.564016837
1233,A,MDSC,0.644209484
1234,B,MDSC,0.59926055
1235,B,MDSC,0.493904875
1236,B,MDSC,0.562779136
1237,B,MDSC,0.586929851
1238,B,MDSC,0.572300664
1239,B,MDSC,0.563528115
1240,B,MDSC,0.598599015
1241,B,MDSC,0.746981211
1242,B,MDSC,0.636630183
1243,A,MDSC,0.501303599
1244,A,MDSC,0.674191202
1245,B,MDSC,0.782557987
1246,B,MDSC,0.60005513
1247,B,MDSC,0.666594
1248,B,MDSC,0.595474094
1249,B,MDSC,0.715851586
1250,A,MDSC,0.570425875
1251,B,MDSC,0.628674125
1252,B,MDSC,0.615558818
1253,B,MDSC,0.548524441
1254,B,MDSC,0.600966826
1255,B,MDSC,0.525455709
1256,A,MDSC,0.772906575
1257,A,MDSC,0.635451957
1258,A,MDSC,0.655320632
1259,B,MDSC,0.615822914
1260,A,MDSC,0.539657905
1261,B,MDSC,0.696626068
1262,B,MDSC,0.758221047
1263,B,MDSC,0.47278182
1264,B,MDSC,0.979677746
1265,B,MDSC,0.584440664
1266,A,Macrophage,0.331619039
1267,B,Macrophage,0.413128403
1268,B,Macrophage,0.361986977
1269,B,Macrophage,0.449079872
1270,B,Macrophage,0.304484164
1271,A,Macrophage,0.383392955
1272,A,Macrophage,0.513106793
1273,A,Macrophage,0.382362135
1274,B,Macrophage,0.478431176
1275,B,Macrophage,0.358275867
1276,A,Macrophage,0.35401579
1277,A,Macrophage,0.326309266
1278,B,Macrophage,0.403569372
1279,B,Macrophage,0.353988369
1280,B,Macrophage,0.327670682
1281,A,Macrophage,0.390184306
1282,B,Macrophage,0.313527964
1283,A,Macrophage,0.39784636
1284,B,Macrophage,0.310723409
1285,B,Macrophage,0.320223867
1286,B,Macrophage,0.483306592
1287,B,Macrophage,0.378722338
1288,B,Macrophage,0.424930142
1289,B,Macrophage,0.364812171
1290,A,Macrophage,0.350564455
1291,A,Macrophage,0.381957663
1292,A,Macrophage,0.418246074
1293,B,Macrophage,0.390690362
1294,B,Macrophage,0.536602323
1295,A,Macrophage,0.444048555
1296,A,Macrophage,0.441811921
1297,B,Macrophage,0.325118806
1298,B,Macrophage,0.443817667
1299,A,Macrophage,0.397281432
1300,B,Macrophage,0.37548459
1301,B,Macrophage,0.345552117
1302,A,Macrophage,0.47743744
1303,A,Macrophage,0.366460215
1304,A,Macrophage,0.363951418
1305,A,Macrophage,0.432924528
1306,B,Macrophage,0.442191327
1307,B,Macrophage,0.356364562
1308,A,Macrophage,0.401444511
1309,A,Macrophage,0.412432945
1310,A,Macrophage,0.371249134
1311,B,Macrophage,0.409108137
1312,B,Macrophage,0.456109909
1313,B,Macrophage,0.490757119
1314,B,Macrophage,0.29679818
1315,B,Macrophage,0.305864551
1316,B,Macrophage,0.445311809
1317,B,Macrophage,0.446245139
1318,B,Macrophage,0.428219778
1319,B,Macrophage,0.442079239
1320,B,Macrophage,0.331396142
1321,B,Macrophage,0.327040307
1322,A,Macrophage,0.361288645
1323,B,Macrophage,0.421844308
1324,B,Macrophage,0.428348212
1325,B,Macrophage,0.360304108
1326,B,Macrophage,0.410532249
1327,A,Macrophage,0.390144181
1328,A,Macrophage,0.368715536
1329,A,Macrophage,0.400533791
1330,B,Macrophage,0.422447138
1331,B,Macrophage,0.464503897
1332,B,Macrophage,0.420229202
1333,A,Macrophage,0.502204805
1334,A,Macrophage,0.435541785
1335,B,Macrophage,0.306905589
1336,B,Macrophage,0.399108068
1337,A,Macrophage,0.313061294
1338,B,Macrophage,0.291612399
1339,B,Macrophage,0.351052213
1340,B,Macrophage,0.319477823
1341,A,Macrophage,0.426754261
1342,A,Macrophage,0.457647296
1343,B,Macrophage,0.407918725
1344,A,Macrophage,0.35220776
1345,A,Macrophage,0.400211186
1346,B,Macrophage,0.402100376
1347,B,Macrophage,0.344522178
1348,A,Macrophage,0.398508062
1349,B,Macrophage,0.389330872
1350,B,Macrophage,0.318774432
1351,B,Macrophage,0.344984187
1352,B,Macrophage,0.380497447
1353,B,Macrophage,0.312573393
1354,B,Macrophage,0.374705697
1355,B,Macrophage,0.422743846
1356,B,Macrophage,0.464869623
1357,B,Macrophage,0.360322175
1358,A,Macrophage,0.333914987
1359,A,Macrophage,0.43491608
1360,B,Macrophage,0.492897086
1361,B,Macrophage,0.387939027
1362,B,Macrophage,0.374129289
1363,B,Macrophage,0.302437942
1364,B,Macrophage,0.436073649
1365,A,Macrophage,0.379062093
1366,B,Macrophage,0.369927673
1367,B,Macrophage,0.372201066
1368,B,Macrophage,0.317165729
1369,B,Macrophage,0.378338161
1370,B,Macrophage,0.350906776
1371,A,Macrophage,0.41588096
1372,A,Macrophage,0.409729155
1373,A,Macrophage,0.40009125
1374,B,Macrophage,0.38169174
1375,A,Macrophage,0.352075778
1376,B,Macrophage,0.408125058
1377,B,Macrophage,0.471297151
1378,B,Macrophage,0.314441148
1379,B,Macrophage,0.639608797
1380,B,Macrophage,0.362690695
1381,A,Mast cell,0.217176445
1382,B,Mast cell,0.366866975
1383,B,Mast cell,0.322853691
1384,B,Mast cell,0.343583039
1385,B,Mast cell,0.325092817
1386,A,Mast cell,0.453026682
1387,A,Mast cell,0.466676595
1388,A,Mast cell,0.335464997
1389,B,Mast cell,0.469677675
1390,B,Mast cell,0.323028417
1391,A,Mast cell,0.230289123
1392,A,Mast cell,0.169536831
1393,B,Mast cell,0.378053189
1394,B,Mast cell,0.35097002
1395,B,Mast cell,0.334070322
1396,A,Mast cell,0.225881131
1397,B,Mast cell,0.398115288
1398,A,Mast cell,0.445805212
1399,B,Mast cell,0.347703093
1400,B,Mast cell,0.290137689
1401,B,Mast cell,0.380118155
1402,B,Mast cell,0.358381119
1403,B,Mast cell,0.442949501
1404,B,Mast cell,0.264209821
1405,A,Mast cell,0.193271435
1406,A,Mast cell,0.24996638
1407,A,Mast cell,0.442536148
1408,B,Mast cell,0.330683575
1409,B,Mast cell,0.390966382
1410,A,Mast cell,0.341526705
1411,A,Mast cell,0.311369135
1412,B,Mast cell,0.363994739
1413,B,Mast cell,0.370532211
1414,A,Mast cell,0.333512926
1415,B,Mast cell,0.348486696
1416,B,Mast cell,0.344107017
1417,A,Mast cell,0.447307824
1418,A,Mast cell,0.29290718
1419,A,Mast cell,0.307769856
1420,A,Mast cell,0.312814658
1421,B,Mast cell,0.403886719
1422,B,Mast cell,0.391108776
1423,A,Mast cell,0.258132975
1424,A,Mast cell,0.326669351
1425,A,Mast cell,0.273717465
1426,B,Mast cell,0.391798328
1427,B,Mast cell,0.411035455
1428,B,Mast cell,0.538655995
1429,B,Mast cell,0.265813601
1430,B,Mast cell,0.228305898
1431,B,Mast cell,0.299365379
1432,B,Mast cell,0.266573916
1433,B,Mast cell,0.378389186
1434,B,Mast cell,0.470395657
1435,B,Mast cell,0.360398039
1436,B,Mast cell,0.414456087
1437,A,Mast cell,0.3261773
1438,B,Mast cell,0.312062623
1439,B,Mast cell,0.328403644
1440,B,Mast cell,0.347439438
1441,B,Mast cell,0.370529009
1442,A,Mast cell,0.224819805
1443,A,Mast cell,0.333149897
1444,A,Mast cell,0.253078717
1445,B,Mast cell,0.355705035
1446,B,Mast cell,0.406278702
1447,B,Mast cell,0.35895914
1448,A,Mast cell,0.476919754
1449,A,Mast cell,0.397528002
1450,B,Mast cell,0.31289363
1451,B,Mast cell,0.388934254
1452,A,Mast cell,0.291896327
1453,B,Mast cell,0.32017698
1454,B,Mast cell,0.289648849
1455,B,Mast cell,0.276248655
1456,A,Mast cell,0.514434609
1457,A,Mast cell,0.347731698
1458,B,Mast cell,0.324403541
1459,A,Mast cell,0.312476632
1460,A,Mast cell,0.322289569
1461,B,Mast cell,0.458831616
1462,B,Mast cell,0.30457382
1463,A,Mast cell,0.314745701
1464,B,Mast cell,0.300046277
1465,B,Mast cell,0.352447141
1466,B,Mast cell,0.32317787
1467,B,Mast cell,0.34176707
1468,B,Mast cell,0.313212019
1469,B,Mast cell,0.266081556
1470,B,Mast cell,0.326762582
1471,B,Mast cell,0.348324755
1472,B,Mast cell,0.319482399
1473,A,Mast cell,0.253179375
1474,A,Mast cell,0.38926457
1475,B,Mast cell,0.438713568
1476,B,Mast cell,0.267830676
1477,B,Mast cell,0.314925854
1478,B,Mast cell,0.294698801
1479,B,Mast cell,0.399065296
1480,A,Mast cell,0.288544828
1481,B,Mast cell,0.301077245
1482,B,Mast cell,0.325972003
1483,B,Mast cell,0.251911797
1484,B,Mast cell,0.256017753
1485,B,Mast cell,0.228659388
1486,A,Mast cell,0.341861241
1487,A,Mast cell,0.374404692
1488,A,Mast cell,0.34532872
1489,B,Mast cell,0.284310411
1490,A,Mast cell,0.332297102
1491,B,Mast cell,0.342153072
1492,B,Mast cell,0.448158324
1493,B,Mast cell,0.283462155
1494,B,Mast cell,0.484712009
1495,B,Mast cell,0.285607201
1496,A,Monocyte,0.728997773
1497,B,Monocyte,0.814887031
1498,B,Monocyte,0.843449346
1499,B,Monocyte,0.846091953
1500,B,Monocyte,0.814392579
1501,A,Monocyte,0.788391133
1502,A,Monocyte,0.817347727
1503,A,Monocyte,0.804520195
1504,B,Monocyte,0.589658621
1505,B,Monocyte,0.860912853
1506,A,Monocyte,0.824870909
1507,A,Monocyte,0.72213984
1508,B,Monocyte,0.848571992
1509,B,Monocyte,0.778508312
1510,B,Monocyte,0.806189704
1511,A,Monocyte,0.803478892
1512,B,Monocyte,0.809332795
1513,A,Monocyte,0.800519884
1514,B,Monocyte,0.777917277
1515,B,Monocyte,0.858000686
1516,B,Monocyte,0.798283359
1517,B,Monocyte,0.811082523
1518,B,Monocyte,0.872842503
1519,B,Monocyte,0.8552859
1520,A,Monocyte,0.818644891
1521,A,Monocyte,0.798747546
1522,A,Monocyte,0.845188729
1523,B,Monocyte,0.865374504
1524,B,Monocyte,0.862402884
1525,A,Monocyte,0.789705286
1526,A,Monocyte,0.774466049
1527,B,Monocyte,0.834149955
1528,B,Monocyte,0.825482765
1529,A,Monocyte,0.800472883
1530,B,Monocyte,0.773093883
1531,B,Monocyte,0.810097653
1532,A,Monocyte,0.805659916
1533,A,Monocyte,0.77552147
1534,A,Monocyte,0.809694737
1535,A,Monocyte,0.822356855
1536,B,Monocyte,0.800637092
1537,B,Monocyte,0.806967894
1538,A,Monocyte,0.794906649
1539,A,Monocyte,0.791228599
1540,A,Monocyte,0.821046032
1541,B,Monocyte,0.810831158
1542,B,Monocyte,0.890699894
1543,B,Monocyte,0.89871651
1544,B,Monocyte,0.790705187
1545,B,Monocyte,0.832141635
1546,B,Monocyte,0.824186512
1547,B,Monocyte,0.809769081
1548,B,Monocyte,0.804060678
1549,B,Monocyte,0.878296861
1550,B,Monocyte,0.820230505
1551,B,Monocyte,0.765527195
1552,A,Monocyte,0.811586282
1553,B,Monocyte,0.809419477
1554,B,Monocyte,0.819693347
1555,B,Monocyte,0.794564968
1556,B,Monocyte,0.78260629
1557,A,Monocyte,0.831156678
1558,A,Monocyte,0.771433615
1559,A,Monocyte,0.816680901
1560,B,Monocyte,0.830894716
1561,B,Monocyte,0.852324723
1562,B,Monocyte,0.856070627
1563,A,Monocyte,0.86692812
1564,A,Monocyte,0.805547495
1565,B,Monocyte,0.73582714
1566,B,Monocyte,0.822085818
1567,A,Monocyte,0.842444009
1568,B,Monocyte,0.789854433
1569,B,Monocyte,0.789166598
1570,B,Monocyte,0.840673184
1571,A,Monocyte,0.845145075
1572,A,Monocyte,0.853696869
1573,B,Monocyte,0.820484129
1574,A,Monocyte,0.802615808
1575,A,Monocyte,0.826123325
1576,B,Monocyte,0.822432938
1577,B,Monocyte,0.811551036
1578,A,Monocyte,0.800976331
1579,B,Monocyte,0.859359242
1580,B,Monocyte,0.767330425
1581,B,Monocyte,0.83308018
1582,B,Monocyte,0.811569956
1583,B,Monocyte,0.824053078
1584,B,Monocyte,0.836582196
1585,B,Monocyte,0.813835782
1586,B,Monocyte,0.834458531
1587,B,Monocyte,0.804659033
1588,A,Monocyte,0.773656377
1589,A,Monocyte,0.802105578
1590,B,Monocyte,0.849820144
1591,B,Monocyte,0.805044495
1592,B,Monocyte,0.816540672
1593,B,Monocyte,0.792126719
1594,B,Monocyte,0.819739081
1595,A,Monocyte,0.791824932
1596,B,Monocyte,0.805863547
1597,B,Monocyte,0.819943794
1598,B,Monocyte,0.825418032
1599,B,Monocyte,0.78738498
1600,B,Monocyte,0.811376066
1601,A,Monocyte,0.824319335
1602,A,Monocyte,0.784784276
1603,A,Monocyte,0.786723349
1604,B,Monocyte,0.823220442
1605,A,Monocyte,0.82232561
1606,B,Monocyte,0.824216163
1607,B,Monocyte,0.846687275
