,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,TRDMT1,DNMT3A,DNMT3B,NOP2,TET1,TET2,TET3,ALYREF,XPD
GSE76427_GSM2011369,5.105534709,3.061317497,3.647456365,4.356746385,4.399474444,1.384321149,3.748807071,1.467491056,3.164125513,1.576096593,5.522857898,1.586819772,2.148654223,3.337554379,5.608750284,4.897055943
GSE76427_GSM2011370,6.073075091,2.889523004,3.477768416,4.265234472,5.79085302,1.53724465,4.334316275,1.767353332,2.904361965,1.764316656,5.347759104,1.520145781,1.506839492,2.385621549,6.148990049,4.144299154
GSE76427_GSM2011371,5.775842896,2.695051916,3.395770119,4.616159713,4.7621033,1.054596815,4.429043025,1.237431889,2.690007911,2.39224344,6.366656809,2.152725332,1.770944604,2.745277638,5.671118873,5.136906587
GSE76427_GSM2011372,5.673231234,3.360541115,3.210143729,4.65500461,5.806653942,0.685138191,4.345034946,1.215229663,3.34119305,2.28050954,6.915236951,1.323960819,1.991064792,2.962842742,5.708044209,4.907330366
GSE76427_GSM2011373,5.837518885,2.975944985,4.602135715,5.482692615,4.15733658,1.653137533,4.157552916,1.184960744,3.74504384,1.756408623,6.03631436,1.482395517,1.36367492,1.186536922,5.685266901,5.223253973
GSE76427_GSM2011374,5.459038321,2.636109057,3.113684171,4.030763702,5.64577135,2.711255198,4.509995496,1.47864085,3.068664988,2.770869086,6.344558259,1.559031262,2.655127974,1.716890993,4.481016955,5.893165497
GSE76427_GSM2011375,5.506760187,2.902462868,3.108510467,4.303081937,4.95057177,0.977596981,4.576714871,1.420644564,3.574924389,2.307362692,5.494091328,1.226941759,2.270357369,2.80473925,5.57174936,4.693760601
GSE76427_GSM2011376,5.736000963,2.81798522,3.23961235,3.877448113,5.156613019,0.982696941,5.088770349,1.439470952,2.866249936,1.716414614,6.451643338,1.017326573,1.340357613,2.82677219,5.108406131,4.372368623
GSE76427_GSM2011377,6.400705158,2.397002,3.51152068,4.388953195,4.448043707,2.453061299,6.567886854,1.971522859,4.156784905,2.357942612,4.124588252,1.831982057,1.926562838,2.21102808,7.42689632,3.544942928
GSE76427_GSM2011378,5.785200434,2.485220036,3.933968116,4.124231372,4.474053335,1.785210116,5.02217517,1.166174702,4.235519993,1.562640302,3.090393,1.536266691,2.006148645,2.375419787,7.461302455,2.450007016
GSE76427_GSM2011379,5.226539473,2.527302437,3.09279205,3.07903667,5.580573689,1.44492938,4.26888608,1.279038607,2.902600002,1.896700504,5.91614195,1.418930985,2.50581395,2.060523243,5.342801796,4.669195672
GSE76427_GSM2011380,6.185146506,3.102224449,4.152772465,4.460366674,3.400203841,1.212341208,4.240059484,1.556456492,2.493201758,2.014956904,5.321052779,1.174992329,2.303131446,3.093023825,5.694879947,4.458426462
GSE76427_GSM2011381,5.218105569,2.100843168,3.370505411,4.74801254,5.00765913,1.428021993,4.043670706,1.519736963,3.901709145,2.200373102,6.223528996,1.565142179,1.626729055,2.937873199,4.755927381,5.350451169
GSE76427_GSM2011382,5.78286594,3.093257921,3.232246304,4.278398352,4.111184329,0.907844481,4.105727035,1.020685625,3.820039776,2.902889614,5.358706155,0.763589891,1.529587249,2.713758243,5.712209038,3.937581767
GSE76427_GSM2011383,5.417537822,2.528431389,3.403241708,4.614503389,4.096204726,1.306852507,4.665461648,1.323561915,3.342435423,1.751441446,5.953301852,1.200858125,1.34650613,2.185798378,5.575747599,4.239272722
GSE76427_GSM2011384,5.738132935,2.473177671,3.615493651,3.915413897,3.909307587,1.025135301,4.637390392,1.007229331,2.760982668,2.549363686,2.59830575,1.412106846,2.054793426,3.692557895,6.785109708,2.303027002
GSE76427_GSM2011385,5.571743771,2.573741476,3.610494859,4.361989513,4.143712978,0.909737958,4.087421793,1.337748768,3.720580089,2.168366469,6.183227936,1.379691753,1.707125665,3.045227062,6.075179531,4.345131963
GSE76427_GSM2011386,5.027522121,2.325729996,3.047272483,4.216836544,4.798395192,1.303727238,4.282357593,1.130962534,2.907872274,1.887526038,5.644204884,1.516919031,2.274576305,2.92751283,5.301695308,4.495893152
GSE76427_GSM2011387,5.971461737,3.034763352,3.759379821,4.967534851,4.52869309,1.493134037,4.134080801,1.627447394,2.92570021,2.015740482,5.321628964,1.120605159,2.287963463,4.100658894,5.729842163,4.345767737
GSE76427_GSM2011388,5.38663928,2.380208988,3.274195969,5.26543594,5.549240816,2.053953593,3.894258519,1.200212644,3.693176306,1.89767801,4.841596987,1.388812196,1.913314446,2.249921635,5.288754801,4.859790507
GSE76427_GSM2011389,5.202585617,2.711669244,2.983680919,4.212458067,4.562918924,0.769316324,4.874865178,1.355759803,3.033227384,2.105661192,7.125449356,2.098383059,2.11081409,2.617549821,5.50643764,5.142215042
GSE76427_GSM2011390,5.625605729,2.239312181,3.639330891,4.942517559,4.023596556,1.727427784,4.436294767,1.503100629,3.153589307,2.440087592,3.848346646,1.455657334,2.08855404,2.588352994,6.117577108,2.503945488
GSE76427_GSM2011391,5.2035478,2.685021361,2.844121734,4.311952579,4.95057177,1.381329322,4.920408293,1.567611364,3.697880746,2.583775796,3.317075239,2.317164731,1.939683989,2.643369724,6.097985233,3.136034008
GSE76427_GSM2011392,5.754560873,2.068091303,3.241994273,5.201551875,4.254864727,1.436480891,4.994671988,0.840366924,2.67767121,3.270458131,3.577561946,1.770895082,2.006148645,2.793860511,6.494404794,2.845141274
GSE76427_GSM2011393,6.290741085,3.394167033,3.951356131,4.608976109,3.558997679,0.96982142,4.032371645,1.528338289,2.574457207,1.945140855,5.593325653,1.302416841,1.629204734,2.719559837,5.865406779,4.90186552
GSE76427_GSM2011394,5.428857154,2.656686719,2.952549249,3.728892748,4.738265608,1.370470906,4.658149953,1.533805048,3.947601572,2.106579884,4.048028109,1.933238628,2.278475354,2.444987374,5.955419244,3.335713427
GSE76427_GSM2011395,4.894559892,2.786643221,3.373915873,4.618408736,5.024540857,0.997324403,3.962667752,1.47215303,3.424698206,1.875044464,5.917309682,1.519885203,2.050591047,2.778436992,4.671681669,5.156141289
GSE76427_GSM2011396,5.493608967,2.568488756,3.190810582,4.330162042,4.820252108,1.451322465,4.880773287,1.293427363,3.316136494,1.524159375,5.123493259,1.212318742,2.976152497,2.07087929,6.120843111,4.061946269
GSE76427_GSM2011397,5.989141389,3.092853493,3.13789384,5.815332254,4.378802552,0.740227267,3.875775,1.089063123,1.625266099,2.138939719,6.006647908,1.296091226,1.91038434,2.014594028,5.384157509,5.418674232
GSE76427_GSM2011398,5.463638699,2.852773846,3.779658343,4.41486407,3.848445182,0.811042638,4.79114462,1.451363863,2.851726764,1.447101545,6.233981492,1.249304775,2.517239371,2.294872885,6.25426128,4.095091938
GSE76427_GSM2011399,5.919191845,2.448295841,3.36753657,5.13631193,5.520580341,1.035619241,4.115493199,1.069968888,3.227635565,0.988744001,5.461291999,1.103521054,1.73242913,2.914811532,5.427234386,5.19436879
ICGC_SP106993-DO48672-T,5.613546704,2.766467382,3.841421651,4.538410718,4.257342288,1.181111058,3.178988594,1.25842522,3.045156528,1.825985694,6.0697295,1.326938282,1.909068098,2.458837172,5.023973718,3.960368283
ICGC_SP106998-DO48674-T,4.54692263,1.614630802,2.572154455,3.767151688,5.061492557,1.256752913,2.174794292,1.157692114,1.797166899,1.205717049,4.882461748,1.214593119,1.286821711,1.198851216,4.861351809,3.318971622
ICGC_SP107004-DO48677-T,5.446846357,2.476265539,3.630864393,4.752847969,4.628553979,1.079683087,2.953669622,1.077222667,2.827046455,1.937097516,5.532670531,1.044693097,2.354350684,2.690394678,5.079331937,4.893760439
ICGC_SP107007-DO48679-T,5.485139748,2.281065572,2.648506713,5.15237501,3.964122547,1.084167826,4.248051471,1.271322945,2.306173377,2.099208327,5.901141456,1.233988348,1.470685261,2.103875071,6.109372864,4.747474302
ICGC_SP107010-DO48681-T,5.358427359,3.279505408,3.720519027,4.650374575,3.814465254,1.114925057,5.349030085,1.230549193,5.119490352,2.501200829,5.375752827,1.739259169,2.45529427,2.914102137,7.79574752,4.262842302
ICGC_SP107012-DO48682-T,5.22554404,3.132285413,3.603854623,5.082174208,5.613941499,1.014481332,4.355943433,1.117414289,3.559689026,1.94198433,6.388188306,1.283055475,1.908206537,3.072958544,5.623823469,4.904523077
ICGC_SP107032-DO48693-T,5.365389116,2.263594483,2.779873077,4.661795775,5.021620886,1.180364954,3.574560859,1.291407209,2.518774681,2.018070968,5.756446571,1.311758414,1.673492293,2.178672714,4.818045507,4.390631576
ICGC_SP107037-DO48695-T,5.621943739,2.717673972,3.633555711,5.112199194,4.763324864,1.031968692,4.172249569,1.062879476,2.890291973,1.973614773,6.415998349,1.165523442,2.003153572,2.572254758,5.528170601,5.296323362
