,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-VQ-A91K-01A-11R-A414-31,3.949654452,3.945500021,4.291166646,4.385662954,6.219154384,5.908773526,4.614139131,4.787309692,6.196430591,5.482139666,4.616998086,6.743800377,6.593366919,6.259224459,0.029189604,6.077207743,1.160873732,8.189694118,7.261577826,6.366664049,4.806134298,6.571941907,5.615501048,6.320150874,3.918823175,Tumor
TCGA-HJ-7597-01A-21R-2203-13,4.281480902,3.714066338,3.540252983,4.635064797,6.35271457,6.110521311,4.730748629,4.962618889,5.586886614,5.519336833,4.509657209,7.203470364,6.865066353,5.91682987,1.483837442,7.039098904,4.335244559,8.47733693,7.478794692,6.552932178,4.702819865,6.416173625,6.03723856,6.816925,4.280286017,Tumor
TCGA-HU-A4G3-01A-11R-A24K-31,3.652478464,3.391701467,3.752794611,4.182123369,5.742723876,5.174165896,4.206287663,4.242611651,5.532860517,5.260167961,3.662861742,6.458382496,6.047208344,5.979375118,0.041957535,5.455244684,0.280678197,8.335751207,6.890929375,6.54471334,3.73167854,6.17007307,5.287270224,6.003966265,3.446299378,Tumor
TCGA-HU-A4GH-01A-11R-A24K-31,3.668748861,3.572599888,3.257190793,4.530728747,5.758306642,5.99237304,4.347850587,3.777097736,6.535839589,5.727920182,3.328759072,6.992605303,7.198834946,5.616585306,0.116757305,5.36388769,3.434117373,9.048666689,6.997554364,7.027229264,4.451350923,5.81613119,5.223368873,6.137609377,3.453455287,Tumor
TCGA-R5-A7ZI-01A-11R-A354-31,3.519829962,2.939038846,3.259434,3.371956629,4.466777842,5.036819795,3.768708365,4.292822968,4.657084312,4.030595634,3.228864087,6.292794446,5.546368205,5.156132438,1.762045999,3.979325725,0.197835707,7.877815402,6.688551058,6.373523458,3.754301756,5.894506884,5.29644566,5.400991394,2.32380555,Tumor
TCGA-BR-8365-01A-21R-2343-13,4.087769169,3.839815512,4.611557205,4.286204726,5.807230484,5.257457241,4.528586321,5.003694426,5.81999306,5.097260193,3.764135927,6.339085172,5.981746502,6.277466511,1.812713433,4.08518073,1.364327013,7.46151137,6.83080546,6.452306814,4.345255846,5.883330244,5.494648893,6.690858778,4.895958375,Tumor
TCGA-D7-A74A-01A-11R-A32D-31,3.324225056,2.883215319,3.164387745,3.348097833,5.387199153,5.000621577,4.101925681,4.264449356,5.265805174,4.752511512,3.214040231,6.540973448,5.65816063,5.472415635,2.23836163,6.337766031,2.719500207,8.155240731,7.183423986,6.989842922,5.067631404,5.629138888,5.899329126,5.468837027,3.74982385,Tumor
TCGA-F1-6874-01A-11R-1884-13,3.910936965,3.514480837,4.258325949,5.306566658,6.077391705,5.649523204,4.64402988,5.219326143,5.048094473,5.121870815,4.426671336,6.837087965,6.446128665,6.432239049,0.605520789,5.575449392,5.11575907,8.153162363,7.340198167,6.617957696,4.830238082,6.449003337,5.355662244,5.399281991,3.965899696,Tumor
TCGA-BR-6802-01A-11R-1884-13,4.29084901,3.09884044,3.388398417,3.987792894,6.210969738,5.121906446,4.473097214,4.181315678,4.415655246,4.75263193,3.73678236,5.949262476,6.096424636,5.881456617,0.085192963,5.980064613,1.220313856,7.737370394,7.194024981,6.499289745,5.01692058,5.741853092,5.416993054,5.780305693,3.265562766,Tumor
TCGA-BR-8676-01A-11R-2402-13,3.864683386,3.479186576,3.909191301,4.092543205,5.376971001,5.343971287,4.701361084,4.337103063,5.832775606,5.459933851,3.208352911,6.320476735,6.995321698,6.034174549,0.284643473,6.925757367,0.196476365,9.353336525,8.090654983,7.314719181,4.504994682,5.923791688,6.20592322,5.547914805,4.456412574,Tumor
TCGA-BR-A4J7-01A-31R-A251-31,4.244623758,3.976136306,4.631141543,3.794300446,5.436688892,5.95489608,4.521229178,4.252510275,6.691730959,5.68555308,3.569623544,6.03654817,6.168889697,5.849116815,0.087646368,6.189740564,0.233850766,8.119610888,6.789039295,6.795466961,4.632400844,5.598724286,5.371900678,6.202264128,4.274425679,Tumor
TCGA-BR-A4QL-01A-31R-A251-31,4.20187612,3.470031801,3.805679393,3.75150764,4.717931905,5.299628949,4.297135645,4.339209375,6.128954045,5.512421909,3.444950993,5.821934407,6.456228069,5.591032476,0.258391805,4.970451981,0.281322937,8.672473077,7.378659006,7.351088525,4.10243138,6.561416111,5.643958906,5.597985537,2.911606647,Tumor
TCGA-BR-7958-01A-21R-2343-13,3.806100262,3.35940886,3.994918184,4.402477296,5.430558262,5.14603238,4.434508804,3.87124733,5.548054322,5.279537411,3.145080855,6.899245733,6.451547921,5.36463301,0.017929987,6.559500532,4.125102218,8.721472463,7.488217737,6.619084581,4.003111961,5.891078402,5.859519878,6.191811902,3.906329759,Tumor
TCGA-FP-7735-01A-11R-2055-13,3.526696097,3.497774572,3.01628022,3.559690032,5.483840601,4.862354183,4.338826573,4.336781817,5.504610859,4.834836086,2.373584461,6.858320486,6.23616233,5.595900144,1.285670313,4.501240403,0.192861376,8.092364971,7.298694053,6.758151245,3.865491286,5.564465057,5.571957677,6.088230858,3.983555489,Tumor
TCGA-BR-8372-01A-11R-2343-13,4.640071947,3.747528117,3.904563095,4.515319484,5.139882009,6.184367782,4.992811928,4.37051654,4.110997916,4.731474902,3.979386094,6.128833032,6.697804394,6.840148475,0.479547112,5.914244235,1.088964499,7.955594116,8.132175296,7.747290044,4.172409906,7.261316426,5.425604319,5.717098463,3.600789496,Tumor
TCGA-CD-8525-01A-11R-2343-13,3.922627928,2.478477193,3.663782941,3.720444836,5.227391833,5.198528335,4.37756732,3.767029707,6.356317797,4.931097257,2.538451997,6.580565807,6.363132521,5.393471804,4.336671149,5.899401155,2.543653012,8.14296578,7.441699257,6.87459043,3.875626744,5.755334401,5.301667753,4.912251424,3.216643125,Tumor
TCGA-CD-8531-01A-11R-2343-13,4.636480779,3.576333475,4.313094172,4.705944736,6.164058151,5.732149784,4.809857886,4.376352208,5.765172171,5.46729546,4.147776394,6.186423302,6.86325955,4.683296711,0.100056019,2.245721694,4.133649828,8.694219619,7.982497955,7.224797591,4.004585884,5.827233446,6.252313088,6.431935932,4.886901268,Tumor
TCGA-BR-6455-01A-11R-1802-13,4.635492059,3.636398411,4.310203407,4.397760529,6.476870766,5.627068061,4.946040222,4.439266741,5.147641688,5.315851307,3.206841987,6.727938148,6.686805842,6.074629595,0.234508801,5.843780386,0.455987917,8.854201099,8.011591797,7.611968329,3.816695951,6.534629402,6.07129352,5.89565066,3.815702479,Tumor
TCGA-BR-8686-01A-11R-2402-13,4.110481013,3.77967156,4.5068266,4.730201919,5.567710625,5.820308927,4.252293027,4.533059937,5.907011056,5.847048825,4.168024201,6.857148718,6.442668031,6.042988994,0.033406043,6.187423538,1.635055972,8.355213648,7.086794379,6.684118816,4.793073406,5.983103056,5.624630839,6.376815277,4.341895398,Tumor
TCGA-CG-5721-01A-11R-1602-13,4.141558678,3.268765984,3.918528398,4.541346945,5.878494109,5.670870354,4.058774518,4.346891665,4.879046014,4.619997483,3.510970778,6.08249695,6.551811755,5.524114779,0.085606511,5.361660294,0.92711366,8.189619998,7.571270274,6.73567245,4.763411574,5.684750584,5.508704678,5.58899701,2.804583317,Tumor
TCGA-VQ-A91S-01A-11R-A414-31,4.425485489,3.536172291,4.781942969,4.869271803,6.213605855,5.944201589,5.906910312,5.413600852,6.569647542,5.59630636,4.434396711,7.601954224,6.744103225,6.977060068,0.095805706,7.077569876,3.62521437,8.476681003,7.537415665,7.421296526,6.786396409,7.362664503,6.469097031,5.91357699,3.318618366,Tumor
