"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"UBE2L6",2.68660114128528e-15,0.443438654359458,0.563,0.309,4.13306719575327e-11,"0"
"PTMA",2.92597144446736e-15,0.332518552106362,1,0.997,4.50131447016859e-11,"0"
"GNA13",3.35438302684952e-15,0.44736925992005,0.762,0.646,5.16038284850531e-11,"0"
"AREG",6.82152604121201e-15,0.849769889346839,0.689,0.54,1.04942356618006e-10,"0"
"PTPRC",7.50797833095414e-15,0.392440211633989,0.993,0.964,1.15502738643399e-10,"0"
"PSMD14",9.18508284689939e-15,0.425507498843007,0.556,0.305,1.413033145167e-10,"0"
"IER5",1.11653806515968e-14,-0.785281141140941,0.573,0.766,1.71768215944166e-10,"0"
"CLEC10A",1.22584278058513e-14,0.409427497232576,0.36,0.143,1.88583653365216e-10,"0"
"S100A11",2.01694381478973e-14,0.409377288504015,1,0.983,3.10286636467252e-10,"0"
"RSAD2",2.44466404589431e-14,0.491180354400539,0.336,0.125,3.76087116820381e-10,"0"
"C1QA",3.39407050563295e-14,-1.41954592320389,0.406,0.586,5.22143806586573e-10,"0"
"IL1B",3.85036493111922e-14,-2.09831272252709,0.57,0.688,5.92340141003381e-10,"0"
"CCR2",4.32131166578261e-14,0.315087344243327,0.234,0.063,6.64790586663998e-10,"0"
"RPS10",6.24789715179849e-14,-0.858153897827475,0.542,0.698,9.6117649783268e-10,"0"
"ATP5ME",8.22332975682073e-14,0.39257436762587,0.829,0.737,1.2650770497893e-09,"0"
"RNF213",9.64915131192879e-14,0.419422245532756,0.923,0.853,1.48442543782712e-09,"0"
"C1QB",1.01893518066888e-13,-1.45253290052233,0.371,0.574,1.567529881941e-09,"0"
"CTSH",1.08224105057862e-13,0.411313518126585,0.909,0.781,1.66491963221015e-09,"0"
"HSPH1",1.16139110628624e-13,-1.14766670759882,0.657,0.808,1.78668407791075e-09,"0"
"ARPC5",1.40042857442844e-13,0.330772416226235,0.951,0.94,2.15441931890071e-09,"0"
"GPR183",1.42089905906101e-13,0.768020559759363,0.79,0.715,2.18591111245945e-09,"0"
"CLEC5A",1.65951941886585e-13,0.688083759194451,0.483,0.255,2.55300467398323e-09,"0"
"PPIB",1.72773754923206e-13,0.401105010098691,0.86,0.758,2.65795144573861e-09,"0"
"HCST",1.87708581158981e-13,0.394504334988865,0.769,0.651,2.88770881254976e-09,"0"
"IL1A",2.01570853068761e-13,-1.48418406312085,0.07,0.22,3.10096600360982e-09,"0"
"PFDN1",2.22199309175808e-13,0.381822967145506,0.521,0.285,3.41831417236064e-09,"0"
"PLD3",3.14883105474828e-13,-0.871765377906716,0.444,0.57,4.84416169462475e-09,"0"
"ATP5F1E",3.44417941648547e-13,0.308552135893217,0.997,0.99,5.29852561432124e-09,"0"
"PSMA7",3.77346514430025e-13,0.379748349038552,0.927,0.84,5.80509877799151e-09,"0"
"PCBP1",3.77715992161563e-13,0.323617937481129,0.983,0.929,5.81078282341348e-09,"0"
"SLC25A19",4.18401961317068e-13,0.388838885832806,0.427,0.209,6.43669577290178e-09,"0"
"NMT1",4.62573295222544e-13,0.422895614834065,0.64,0.424,7.11622757370362e-09,"0"
"HBEGF",4.77593029799376e-13,0.538769467345264,0.818,0.723,7.3472911704336e-09,"0"
"PARP9",4.81995911947132e-13,0.383213073329635,0.545,0.304,7.41502510939468e-09,"0"
"SCAF11",4.85434518241442e-13,0.356420273820105,0.825,0.789,7.46792462862634e-09,"0"
"MCL1",6.85716974821119e-13,0.276245618040661,1,0.964,1.05490699406481e-08,"0"
"RCC2",7.19954736460767e-13,0.373197984719229,0.49,0.261,1.10757836657124e-08,"0"
"GADD45B",7.51620107035507e-13,-0.750894432797608,0.556,0.757,1.15629237266342e-08,"0"
"NUPR1",1.08174403226116e-12,-1.12559695802104,0.115,0.284,1.66415501923056e-08,"0"
"PTGS2",1.16042181480167e-12,-1.87175569181065,0.371,0.596,1.78519291989089e-08,"0"
"SSB",1.42678961955359e-12,0.446120631781888,0.717,0.572,2.19497315072124e-08,"0"
"GLIPR2",1.65385483100115e-12,0.40224236471811,0.668,0.495,2.54429027201217e-08,"0"
"COX7A2",1.69309085268733e-12,0.348745969804268,0.811,0.756,2.60465096777418e-08,"0"
"IFI44L",1.79557909488721e-12,0.485279752960855,0.542,0.307,2.76231887957448e-08,"0"
"RPS4Y1",1.81757743151621e-12,-0.427399934123832,0.017,0.154,2.79616112064453e-08,"0"
"GBP4",1.99244173169776e-12,0.538367039844982,0.675,0.532,3.06517236004383e-08,"0"
"EIF3J",2.00093793240069e-12,0.378117689913903,0.734,0.607,3.07824291520522e-08,"0"
"ISG15",2.10285894040821e-12,0.539954959556143,0.773,0.609,3.235038193924e-08,"0"
"TRIM22",2.12765983231815e-12,0.416892901897933,0.608,0.44,3.27319188603824e-08,"0"
"MX1",2.78313211576881e-12,0.59085454218908,0.58,0.383,4.28157044689873e-08,"0"
"NAPA",3.2068451622355e-12,0.38313189321905,0.643,0.472,4.93341059758309e-08,"0"
"CALM1",3.73437045361262e-12,0.405817336496233,0.986,0.93,5.74495550583765e-08,"0"
"FCER1G",3.93346852698981e-12,0.393266597873615,0.976,0.93,6.05124798192112e-08,"0"
"RANBP2",4.49709259658436e-12,0.474549679856418,0.731,0.648,6.91832725058538e-08,"0"
"SAMD9L",4.52486125483243e-12,0.466197997843203,0.57,0.41,6.96104655443421e-08,"0"
"IDO1",4.57746413880414e-12,0.412895597452481,0.374,0.174,7.04197083113628e-08,"0"
"GBP5",5.04489771791187e-12,0.639278993389673,0.626,0.521,7.76107064923563e-08,"0"
"MANF",5.21023349886263e-12,0.439262701082364,0.448,0.245,8.01542321465027e-08,"0"
"NCF2",5.44696629235783e-12,0.403049444121874,0.804,0.716,8.37961294416329e-08,"0"
"CXCL10",6.06440937796712e-12,1.00204456421152,0.538,0.414,9.32948738706462e-08,"0"
"S100A6",6.31470367479409e-12,0.351073560653318,0.997,0.959,9.71454013330323e-08,"0"
"LPCAT2",6.86805324898376e-12,0.386265344190851,0.472,0.265,1.05658131182366e-07,"0"
"OAS3",7.81042576319819e-12,0.44369142861922,0.378,0.193,1.20155589941041e-07,"0"
"LARP1",8.02542677872525e-12,0.35222674002607,0.57,0.342,1.23463165563909e-07,"0"
"SNX10",8.55271937910481e-12,0.469677074996341,0.857,0.735,1.31575034928148e-07,"0"
"REL",9.17497288079326e-12,0.421706500263376,0.965,0.937,1.41147782798124e-07,"0"
"MT-ND6",9.3734392724445e-12,0.355851201884941,0.703,0.651,1.44200989767286e-07,"0"
"FRMD4A",1.03011655912524e-11,-0.293129479319141,0.038,0.191,1.58473131455827e-07,"0"
"SSR1",1.04513520258591e-11,0.348980835567493,0.717,0.593,1.60783599565816e-07,"0"
"COL3A1",1.09206888505899e-11,0.254925784867379,0.336,0.145,1.68003877277476e-07,"0"
"FOSL2",1.1080066673349e-11,0.408402678616081,0.811,0.75,1.70455745702802e-07,"0"
"CXCL3",1.1358554816425e-11,-0.952576676012832,0.304,0.537,1.74740007295882e-07,"0"
"EIF1AX",1.15981893905462e-11,0.32654318431799,0.734,0.7,1.78426545584162e-07,"0"
"ZEB2",1.18534467680834e-11,0.410905192970613,0.955,0.908,1.82353425080195e-07,"0"
"ANXA2",1.66911582614934e-11,0.328996931738514,0.979,0.936,2.56776778694814e-07,"0"
"TFDP2",1.92893948049472e-11,0.463822238780077,0.531,0.312,2.96748049679308e-07,"0"
"CYCS",2.01400372687833e-11,0.392357650985652,0.776,0.733,3.09834333342962e-07,"0"
"CCND2",2.13924460433485e-11,0.445096472398277,0.395,0.202,3.29101389930873e-07,"0"
"SDS",2.14807030891467e-11,0.512850358039002,0.423,0.212,3.30459136323433e-07,"0"
"CXCL8",2.40389331299223e-11,-1.63437097698806,0.657,0.777,3.69814947270725e-07,"0"
"SMC1A",2.8671658831898e-11,0.320356757450578,0.535,0.31,4.4108479946992e-07,"0"
"MSN",3.28123190260263e-11,0.328915341828466,0.913,0.88,5.04784715896388e-07,"0"
"FYB1",3.42509602616537e-11,0.419488759195603,0.895,0.823,5.26916772665281e-07,"0"
"ADAMDEC1",3.76929272419428e-11,-0.759138426892517,0.101,0.235,5.79867992690048e-07,"0"
"DENND4A",5.12444356482497e-11,0.342924355103128,0.514,0.293,7.88344398012673e-07,"0"
"COL1A1",5.13989442257706e-11,0.276329482076711,0.322,0.137,7.90721357969255e-07,"0"
"SLIRP",5.25185716011291e-11,0.368270172475816,0.535,0.324,8.0794570551177e-07,"0"
"HNRNPDL",6.08716876735326e-11,0.366950996916495,0.853,0.792,9.36450043169626e-07,"0"
"MAT2A",6.11165060406856e-11,0.350716148279164,0.717,0.688,9.40216328929907e-07,"0"
"PFN1",6.36332085171454e-11,0.303717789025241,0.997,0.981,9.78933279827764e-07,"0"
"FGL2",6.78733716462675e-11,0.465530969804263,0.888,0.788,1.04416394940618e-06,"0"
"H2AFY",7.44948735466964e-11,0.364178751753451,0.878,0.811,1.14602913464238e-06,"0"
"PHPT1",8.71200252953946e-11,0.320374855499777,0.542,0.322,1.34025446914435e-06,"0"
"RBPJ",9.77439222621103e-11,0.372618130722272,0.853,0.788,1.5036925000803e-06,"0"
"EGR1",9.97153345167618e-11,-0.716377025772967,0.409,0.632,1.53402070620586e-06,"0"
"LPXN",1.03976143068285e-10,0.374553579118276,0.545,0.333,1.5995689849625e-06,"0"
"PDIA3",1.13096302229405e-10,0.361011161112667,0.881,0.799,1.73987351349716e-06,"0"
"TNFSF10",1.13911002111299e-10,0.379096322560021,0.521,0.304,1.75240685648022e-06,"0"
"DNAJB1",1.27427739935891e-10,-1.07202687792104,0.675,0.796,1.96034835117374e-06,"0"
"PEA15",1.32046404298388e-10,0.390202706675718,0.745,0.634,2.03140188372641e-06,"0"
"TMCO1",1.33358613466472e-10,0.345426725333302,0.619,0.499,2.0515889095682e-06,"0"
"FLVCR2",1.3529396641809e-10,0.291943189812074,0.287,0.134,2.0813623793759e-06,"0"
"PSME1",1.54593614446686e-10,0.327400093179136,0.902,0.822,2.37826816464781e-06,"0"
"IQGAP1",1.58496427205394e-10,0.301711155728424,0.948,0.941,2.43830903612778e-06,"0"
"PLSCR1",1.59580681078904e-10,0.343114786921966,0.871,0.76,2.45498919771786e-06,"0"
"M6PR",1.64100308412708e-10,0.294718215288396,0.724,0.703,2.5245191446211e-06,"0"
"CHML",1.8352294930159e-10,0.305825312388621,0.43,0.227,2.82331705205566e-06,"0"
"HDGF",1.87946706970508e-10,0.336576152241983,0.563,0.35,2.89137214003429e-06,"0"
"RARRES3",2.12508297498691e-10,0.405388442049781,0.469,0.276,3.26922764871986e-06,"0"
"MMP9",2.3655368439208e-10,-1.6014240444103,0.241,0.427,3.63914188068776e-06,"0"
"MARCKS",2.49178049986353e-10,-0.654042755530349,0.783,0.885,3.83335512099005e-06,"0"
"IFI35",2.67412567447747e-10,0.331501809672267,0.409,0.216,4.11387493761615e-06,"0"
"PSMB3",3.82863472766345e-10,0.290703786877153,0.713,0.648,5.88997166503745e-06,"0"
"CCL2",3.83269616006557e-10,0.767089368194802,0.458,0.426,5.89621977264488e-06,"0"
"CXCL11",4.11675152397973e-10,0.655240555863842,0.245,0.09,6.33321054449042e-06,"0"
"RPL26",4.23942199381027e-10,-0.832638559946064,0.955,0.954,6.52192679527772e-06,"0"
"MAFB",5.88820299735803e-10,-0.644480232315144,0.479,0.672,9.05841149113559e-06,"0"
