"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"HSPB1",7.39703131028222e-50,2.76120301979995,0.881,0.634,1.13795929677382e-45,"6"
"HSPA1A",2.30626382530513e-46,2.24565987135914,1,0.816,3.54795626884941e-42,"6"
"CCL3",3.90589787766808e-37,2.4118346029345,0.955,0.583,6.00883329500458e-33,"6"
"CCL3L1",3.82645131989702e-34,2.33384686008329,0.881,0.397,5.88661271052958e-30,"6"
"CCL4",1.4165934731388e-29,2.21347268450545,0.925,0.521,2.17928739907673e-25,"6"
"BIRC3",8.39494682649072e-122,3.7993062549521,1,0.59,1.29147861978733e-117,"7"
"TXN",8.55697319663556e-90,3.19356204648057,1,0.785,1.31640475657041e-85,"7"
"CCR7",1.67795360534809e-75,3.98233281921654,0.912,0.029,2.58136382646751e-71,"7"
"FSCN1",4.79338818646891e-75,3.25381620641935,0.93,0.077,7.37414838606376e-71,"7"
"LAMP3",3.56449329104172e-72,2.8076432680967,0.86,0.072,5.48361647893858e-68,"7"
"CCL19",3.28838232562986e-62,3.61638066249611,0.807,0.015,5.05884736974898e-58,"7"
"MARCKSL1",4.99426777980864e-55,2.53547638099636,0.912,0.286,7.68318155245761e-51,"7"
"GADD45A",5.22408854561225e-43,2.4753166145988,0.737,0.148,8.03673781856989e-39,"7"
"CCL22",4.70843883947131e-40,4.04055066518937,0.561,0.012,7.24346231064267e-36,"7"
"CCL17",5.6624849941025e-23,2.41047542291518,0.333,0.005,8.71116691492728e-19,"7"
"RIPOR2",2.7250293761169e-46,2.20036700679589,1,0.129,4.19218519221825e-42,"8"
"LYST",1.41990404812065e-43,2.05754518301329,1,0.304,2.18438038762881e-39,"8"
"POU2F2",2.2206934715396e-35,1.7516054173843,0.923,0.217,3.41631483661653e-31,"8"
"MNDA",3.67570033522987e-33,1.86764802191485,1,0.738,5.65469739571763e-29,"8"
"CLEC12A",2.06141336103133e-32,1.77450216431855,0.974,0.26,3.17127831461059e-28,"8"
"FCN1",9.10001884815789e-28,2.21434924431167,0.949,0.46,1.39994689960061e-23,"8"
"CD36",7.83112868865525e-21,1.52622830057748,0.795,0.189,1.20474083746272e-16,"8"
"S100A8",9.84158131261651e-13,2.04570375134019,0.846,0.625,1.51402886913292e-08,"8"
"S100A9",2.0191806049088e-12,1.90075603044662,1,0.785,3.1063074425917e-08,"8"
"VCAN",1.63114205564637e-10,1.51590898691768,0.821,0.548,2.50934893840638e-06,"8"
